,0
0,5.266013451038368
1,2.03
2,1.72
3,1.56
4,2.93
5,4.355029028448516
6,1.74
7,1.26
8,1.55
9,2.98
10,-1.2257591163571226
11,1.39
12,0.04
13,0.34
14,0.03
15,1.5780974616849563
16,2.16
17,2.68
18,2.22
19,2.26
20,-0.3093151371654381
21,-0.25
22,0.78
23,1.16
24,0.94
25,2.5768125737815173
26,1.32
27,0.42
28,0.04
29,0.67
30,0.056345106037908994
31,0.11
32,0.19
33,0.25
34,0.25
35,0.4957769839448985
36,1.31
37,-1.53
38,-3.78
39,-0.5
40,3.117925035819941
41,1.86
42,1.78
43,1.12
44,1.12
45,3.895063578800762
46,3.28
47,3.01
48,0.87
49,1.7
50,-0.0639058673595093
51,0.04
52,0.27
53,0.32
54,0.22
55,4.386327059951564
56,5.35
57,4.71
58,2.57
59,3.21
60,2.5781728430386495
61,7.01
62,2.56
63,2.48
64,2.04
65,-0.05630485361208163
66,0.27
67,0.21
68,0.1
69,-0.73
70,1.2581073102317066
71,0.93
72,0.36
73,0.36
74,0.21
75,0.382073957985987
76,0.44
77,0.49
78,0.31
79,0.43
80,0.6420874806643508
81,0.44
82,0.93
83,0.67
84,0.3
85,1.444236949569865
86,1.13
87,1.76
88,2.55
89,0.22
90,2.4525294631427585
91,2.39
92,2.98
93,3.47
94,2.9
95,3.2014171808448846
96,3.11
97,2.37
98,1.59
99,2.01
100,2.5890776116542376
101,2.54
102,3.07
103,2.41
104,1.51
105,5.5023570248465274
106,5.11
107,5.58
108,5.7
109,6.17
110,2.07026002479363
111,1.94
112,1.87
113,2.31
114,2.54
115,1.56204431213441
116,1.35
117,2.75
118,1.54
119,0.98
120,4.679392542372882
121,5.23
122,3.81
123,0.8
124,0.97
125,-0.1054140779098789
126,0.05
127,0.69
128,0.94
129,1.55
130,9.014898587913386
131,4.01
132,4.86
133,4.49
134,3.82
135,8.631435415197537
136,1.77
137,1.76
138,1.34
139,1.07
140,2.62393541059483
141,7.76
142,6.19
143,4.85
144,2.81
145,2.957606473726469
146,6.87
147,6.16
148,4.5
149,4.0
150,1.1891623276639396
151,1.06
152,1.15
153,0.85
154,0.62
155,0.6639760426819282
156,2.58
157,3.02
158,1.64
159,0.25
160,2.8540094247582446
161,2.27
162,3.13
163,2.85
164,2.59
165,2.267203347093208
166,1.09
167,1.32
168,1.08
169,1.06
170,4.836535273610138
171,1.53
172,0.37
173,0.21
174,-1.93
175,1.7829576636719169
176,2.0
177,2.67
178,1.31
179,-0.07
180,2.2133915543365483
181,3.64
182,2.65
183,1.62
184,0.31
185,0.23245936475273743
186,2.02
187,0.96
188,-0.15
189,-0.21
190,6.629107679190041
191,2.55
192,-0.81
193,0.04
194,0.13
195,3.3479574215081187
196,0.9
197,1.59
198,1.34
199,1.16
200,-0.025714011462761283
201,3.96
202,4.08
203,2.87
204,1.54
205,3.732210895094568
206,-0.37
207,-0.07
208,0.17
209,-0.66
210,-0.028727415635869568
211,2.76
212,3.11
213,2.55
214,3.03
215,0.7240683606791236
216,0.8
217,0.86
218,0.77
219,0.57
220,12.424176541767524
221,0.51
222,1.16
223,1.0
224,0.58
225,5.0981988788027675
226,9.33
227,7.5
228,4.72
229,1.8
230,3.8362053403212113
231,3.72
232,4.13
233,4.6
234,4.57
235,1.1985358653446019
236,1.3
237,-0.22
238,0.73
239,0.12
240,1.6145252562012944
241,1.61
242,1.26
243,1.61
244,2.21
245,1.7102057666564905
246,0.6
247,0.46
248,0.46
249,0.81
250,-0.25608736471244936
251,1.28
252,1.63
253,1.64
254,1.21
255,-3.9261116464533625
256,0.88
257,-0.47
258,0.03
259,-2.44
260,-0.7317925552092424
261,0.41
262,-0.01
263,0.03
264,0.21
265,-2.9290914725215953
266,1.13
267,4.69
268,-0.13
269,1.68
270,-0.07767052782213556
271,-1.21
272,-0.45
273,-1.01
274,0.08
275,0.2920324859333362
276,-7.42
277,-1.47
278,-1.46
279,-1.32
280,-2.233019890918168
281,4.15
282,0.52
283,0.39
284,0.35
285,1.369565637955251
286,0.27
287,0.03
288,-0.21
289,-0.43
290,
291,2.54
292,2.07
293,1.68
294,2.09
295,2.7021134666700344
296,-0.07
297,0.28
298,0.01
299,0.01
300,8.53505477934527
301,0.45
302,0.35
303,0.75
304,0.29
305,
306,-3.82
307,-2.36
308,-0.93
309,-2.17
310,-0.15804767817540719
311,-1.79
312,-1.34
313,-0.89
314,-1.51
315,0.6762328480630828
316,-0.01
317,0.07
318,0.43
319,0.23
320,-4.036535481117581
321,0.09
322,0.45
323,0.65
324,0.21
325,0.09346476868073084
326,-0.29
327,0.47
328,-0.28
329,0.1
330,-0.7835452999705895
331,-0.21
332,-0.1
333,0.02
334,0.42
335,0.34906177226062135
336,0.47
337,-1.56
338,-2.25
339,0.46
340,-0.21420894459356338
341,0.94
342,1.83
343,1.69
344,1.75
345,-0.3629766404082
