,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1101,來自營運之現金流量,8453.0,2233.0,5219.0,2475.0,3209.0,1408.0,4842.0,4137.0
1101,投資活動之現金流量,999.0,-2765.0,41.0,312.0,396.0,307.0,-199.0,1968.0
1101,籌資活動之現金流量,12709.0,-1966.0,-5773.0,-2053.0,-3298.0,-3769.0,-4016.0,-4549.0
1101,本期產生現金流量,21788.0,-2138.0,-277.0,1079.0,516.0,-3167.0,950.0,1047.0
1102,來自營運之現金流量,1838.0,607.0,4285.0,2972.0,1164.0,-282.0,1170.0,5003.0
1102,投資活動之現金流量,-1024.0,2086.0,-1365.0,3357.0,-2793.0,-5984.0,2476.0,-2100.0
1102,籌資活動之現金流量,-1983.0,-238.0,-2772.0,-8547.0,1759.0,8781.0,-1786.0,-4598.0
1102,本期產生現金流量,-1077.0,2465.0,119.0,-2181.0,225.0,2125.0,1829.0,-1888.0
1103,來自營運之現金流量,315.0,-660.0,-15.0,-113.0,119.0,412.0,57.0,324.0
1103,投資活動之現金流量,132.0,4.0,566.0,259.0,-274.0,-426.0,-92.0,2647.0
1103,籌資活動之現金流量,48.0,374.0,190.0,-75.0,-176.0,-890.0,233.0,-2769.0
1103,本期產生現金流量,545.0,-305.0,718.0,72.0,-326.0,-1002.0,220.0,155.0
1104,來自營運之現金流量,34.0,-4.0,-37.0,550.0,118.0,16.0,103.0,627.0
1104,投資活動之現金流量,-57.0,-99.0,67.0,-76.0,-60.0,-111.0,8.0,-133.0
1104,籌資活動之現金流量,10.0,138.0,-106.0,-462.0,-103.0,201.0,-144.0,-611.0
1104,本期產生現金流量,-14.0,36.0,-76.0,12.0,-46.0,106.0,-34.0,-117.0
1108,來自營運之現金流量,-46.0,47.0,58.0,-113.0,146.0,-10.0,217.0,107.0
1108,投資活動之現金流量,16.0,-45.0,15.0,24.0,154.0,56.0,-39.0,-162.0
1108,籌資活動之現金流量,42.0,-55.0,1.0,51.0,-265.0,-80.0,-105.0,29.0
1108,本期產生現金流量,13.0,-52.0,74.0,-38.0,36.0,-33.0,74.0,-29.0
1109,來自營運之現金流量,274.0,168.0,230.0,206.0,72.0,80.0,365.0,191.0
1109,投資活動之現金流量,-23.0,-257.0,77.0,-45.0,-74.0,-33.0,-275.0,-53.0
1109,籌資活動之現金流量,-78.0,67.0,-382.0,-177.0,-7.0,-152.0,22.0,-93.0
1109,本期產生現金流量,198.0,-28.0,-76.0,-25.0,-18.0,-138.0,152.0,30.0
1110,來自營運之現金流量,49.0,-273.0,-194.0,-84.0,246.0,-130.0,-13.0,131.0
1110,投資活動之現金流量,-25.0,178.0,99.0,8.0,-4.0,-25.0,33.0,25.0
1110,籌資活動之現金流量,-61.0,-50.0,105.0,-7.0,-90.0,0.0,-2.0,-118.0
1110,本期產生現金流量,-37.0,-145.0,9.0,-83.0,152.0,-155.0,19.0,38.0
1201,來自營運之現金流量,-365.0,-250.0,879.0,471.0,-46.0,-320.0,1340.0,-159.0
1201,投資活動之現金流量,-107.0,-353.0,1747.0,-330.0,-99.0,-82.0,-30.0,-80.0
1201,籌資活動之現金流量,813.0,4.0,-1904.0,-295.0,-85.0,1172.0,-795.0,-399.0
1201,本期產生現金流量,576.0,-734.0,601.0,-206.0,-198.0,222.0,392.0,-439.0
1203,來自營運之現金流量,186.0,29.0,385.0,159.0,125.0,155.0,366.0,219.0
1203,投資活動之現金流量,-61.0,-123.0,-485.0,-103.0,-112.0,-72.0,-77.0,31.0
1203,籌資活動之現金流量,-558.0,40.0,-98.0,-10.0,-210.0,103.0,-19.0,-123.0
1203,本期產生現金流量,-434.0,-33.0,-234.0,60.0,-169.0,115.0,227.0,107.0
1210,來自營運之現金流量,-975.0,152.0,2084.0,1426.0,861.0,159.0,1274.0,363.0
1210,投資活動之現金流量,-499.0,-615.0,-1049.0,-1163.0,-587.0,-236.0,-68.0,-300.0
1210,籌資活動之現金流量,988.0,112.0,-277.0,-755.0,-661.0,611.0,-1546.0,-254.0
1210,本期產生現金流量,-271.0,-344.0,967.0,-176.0,-148.0,98.0,-289.0,-506.0
1213,來自營運之現金流量,5.0,-29.0,25.0,-64.0,26.0,-34.0,53.0,-23.0
1213,投資活動之現金流量,-2.0,0.0,0.0,0.0,-12.0,-5.0,-8.0,-27.0
1213,籌資活動之現金流量,15.0,-19.0,-10.0,-55.0,100.0,1.0,-36.0,25.0
1213,本期產生現金流量,18.0,-48.0,16.0,-119.0,115.0,-38.0,9.0,-24.0
1215,來自營運之現金流量,-242.0,367.0,451.0,483.0,472.0,311.0,621.0,286.0
1215,投資活動之現金流量,-568.0,-392.0,-501.0,-1581.0,-376.0,-354.0,-416.0,-282.0
1215,籌資活動之現金流量,822.0,28.0,-16.0,1022.0,-58.0,98.0,-201.0,141.0
1215,本期產生現金流量,17.0,3.0,-68.0,-75.0,40.0,41.0,7.0,139.0
1216,來自營運之現金流量,13599.0,73.0,18095.0,13796.0,16948.0,-2377.0,20465.0,9655.0
1216,投資活動之現金流量,-10511.0,27874.0,2774.0,-14138.0,4166.0,-1932.0,916.0,-3455.0
1216,籌資活動之現金流量,-7751.0,6110.0,-9756.0,-20475.0,-3939.0,-6674.0,-4350.0,-17825.0
1216,本期產生現金流量,-3870.0,33704.0,11518.0,-20591.0,17313.0,-9872.0,15917.0,-11422.0
1217,來自營運之現金流量,58.0,-103.0,279.0,-49.0,-82.0,-69.0,346.0,38.0
1217,投資活動之現金流量,-14.0,-229.0,-8.0,-518.0,-107.0,-158.0,-36.0,-134.0
1217,籌資活動之現金流量,-147.0,316.0,-250.0,648.0,35.0,139.0,-216.0,182.0
1217,本期產生現金流量,-72.0,-40.0,6.0,68.0,-159.0,-109.0,129.0,81.0
1218,來自營運之現金流量,-244.0,404.0,-30.0,82.0,45.0,-24.0,-12.0,57.0
1218,投資活動之現金流量,-290.0,-68.0,-61.0,207.0,-13.0,-23.0,200.0,110.0
1218,籌資活動之現金流量,513.0,1020.0,-97.0,-590.0,582.0,-424.0,114.0,-478.0
1218,本期產生現金流量,-19.0,1357.0,-168.0,-299.0,614.0,-489.0,291.0,-318.0
1219,來自營運之現金流量,-96.0,526.0,-33.0,116.0,-218.0,-194.0,122.0,207.0
1219,投資活動之現金流量,-105.0,-168.0,-85.0,-107.0,-42.0,-161.0,-101.0,-133.0
1219,籌資活動之現金流量,179.0,-333.0,68.0,79.0,240.0,208.0,-81.0,-50.0
1219,本期產生現金流量,-21.0,25.0,-51.0,89.0,-20.0,-149.0,-59.0,23.0
1220,來自營運之現金流量,-82.0,200.0,-77.0,-8.0,-77.0,260.0,157.0,-76.0
1220,投資活動之現金流量,-34.0,-24.0,-25.0,-36.0,-63.0,-20.0,-11.0,-24.0
1220,籌資活動之現金流量,103.0,-60.0,92.0,-72.0,8.0,-97.0,67.0,-59.0
1220,本期產生現金流量,-13.0,116.0,-11.0,-116.0,-132.0,143.0,213.0,-157.0
1225,來自營運之現金流量,-251.0,782.0,-188.0,-108.0,14.0,370.0,97.0,34.0
1225,投資活動之現金流量,-1.0,-30.0,-46.0,-16.0,-33.0,31.0,-18.0,12.0
1225,籌資活動之現金流量,124.0,-588.0,355.0,28.0,-28.0,-279.0,-241.0,-348.0
1225,本期產生現金流量,-132.0,177.0,120.0,-85.0,-31.0,78.0,-170.0,-325.0
1227,來自營運之現金流量,-1.0,1450.0,451.0,989.0,470.0,633.0,-26.0,744.0
1227,投資活動之現金流量,-9.0,-108.0,-45.0,-141.0,-648.0,-202.0,-701.0,-93.0
1227,籌資活動之現金流量,113.0,-529.0,1280.0,-2522.0,-145.0,908.0,-760.0,-196.0
1227,本期產生現金流量,122.0,861.0,1723.0,-1724.0,-280.0,1266.0,-1431.0,317.0
1229,來自營運之現金流量,1105.0,257.0,-19.0,1620.0,-33.0,240.0,1467.0,152.0
1229,投資活動之現金流量,-520.0,-185.0,-262.0,-52.0,-47.0,-275.0,-120.0,-42.0
1229,籌資活動之現金流量,-699.0,-67.0,268.0,-1611.0,273.0,-93.0,-1469.0,-249.0
1229,本期產生現金流量,-100.0,-5.0,-8.0,-57.0,188.0,-149.0,-109.0,-144.0
1231,來自營運之現金流量,364.0,-517.0,483.0,411.0,50.0,-223.0,249.0,230.0
1231,投資活動之現金流量,-25.0,-38.0,-46.0,-36.0,-43.0,-30.0,-156.0,42.0
1231,籌資活動之現金流量,-176.0,380.0,-293.0,-283.0,-111.0,306.0,-139.0,-371.0
1231,本期產生現金流量,163.0,-174.0,144.0,94.0,-104.0,56.0,-56.0,-102.0
1232,來自營運之現金流量,-132.0,611.0,478.0,487.0,61.0,183.0,687.0,-272.0
1232,投資活動之現金流量,-44.0,-34.0,-37.0,-47.0,-34.0,-22.0,-23.0,-19.0
1232,籌資活動之現金流量,255.0,18.0,-144.0,-648.0,32.0,-287.0,155.0,-746.0
1232,本期產生現金流量,79.0,594.0,298.0,-209.0,59.0,-126.0,820.0,-1037.0
1233,來自營運之現金流量,78.0,47.0,33.0,64.0,77.0,63.0,25.0,57.0
1233,投資活動之現金流量,-68.0,-9.0,-28.0,-3.0,0.0,2.0,-43.0,-6.0
1233,籌資活動之現金流量,-125.0,15.0,-20.0,-26.0,-70.0,-20.0,0.0,-80.0
1233,本期產生現金流量,-116.0,53.0,-15.0,35.0,8.0,45.0,-18.0,-29.0
1234,來自營運之現金流量,-137.0,398.0,226.0,-254.0,-398.0,-190.0,242.0,-461.0
1234,投資活動之現金流量,-196.0,130.0,-32.0,-131.0,-447.0,22.0,-259.0,-246.0
1234,籌資活動之現金流量,410.0,-321.0,-249.0,-575.0,770.0,289.0,52.0,27.0
1234,本期產生現金流量,76.0,210.0,-52.0,-953.0,-63.0,86.0,27.0,-693.0
1235,來自營運之現金流量,-14.0,-6.0,-9.0,65.0,-17.0,-2.0,20.0,81.0
1235,投資活動之現金流量,-91.0,-85.0,-59.0,-33.0,10.0,-20.0,-117.0,-72.0
1235,籌資活動之現金流量,104.0,85.0,73.0,-28.0,1.0,25.0,95.0,-5.0
1235,本期產生現金流量,0.0,-6.0,4.0,4.0,-6.0,4.0,-2.0,3.0
1236,來自營運之現金流量,96.0,-10.0,16.0,-84.0,84.0,5.0,20.0,-4.0
1236,投資活動之現金流量,-2.0,62.0,-8.0,-5.0,-5.0,-3.0,0.0,-7.0
1236,籌資活動之現金流量,-108.0,-68.0,-21.0,85.0,-65.0,-19.0,-55.0,24.0
1236,本期產生現金流量,-14.0,-17.0,-14.0,-4.0,14.0,-18.0,-37.0,13.0
1702,來自營運之現金流量,466.0,132.0,355.0,672.0,61.0,22.0,67.0,923.0
1702,投資活動之現金流量,-270.0,-405.0,-491.0,-437.0,-420.0,-685.0,-607.0,-1199.0
1702,籌資活動之現金流量,-30.0,273.0,-274.0,1007.0,1240.0,323.0,269.0,-136.0
1702,本期產生現金流量,193.0,12.0,-206.0,1275.0,874.0,-443.0,-393.0,-469.0
1737,來自營運之現金流量,140.0,9.0,163.0,225.0,76.0,145.0,110.0,141.0
1737,投資活動之現金流量,116.0,-103.0,-55.0,-58.0,-19.0,-47.0,30.0,58.0
1737,籌資活動之現金流量,-24.0,-5.0,4.0,-295.0,-15.0,33.0,2.0,-222.0
1737,本期產生現金流量,232.0,-99.0,111.0,-128.0,42.0,129.0,142.0,-25.0
1301,來自營運之現金流量,9662.0,3071.0,4361.0,32735.0,10203.0,-1218.0,8662.0,17905.0
1301,投資活動之現金流量,-7446.0,-5309.0,1189.0,-16044.0,-1063.0,11822.0,-5572.0,-4474.0
1301,籌資活動之現金流量,3530.0,2035.0,-4838.0,-25355.0,-17235.0,4012.0,1337.0,-17582.0
1301,本期產生現金流量,5453.0,-30.0,468.0,-8870.0,-7839.0,14529.0,3654.0,-3896.0
1303,來自營運之現金流量,9062.0,6775.0,9037.0,21228.0,6972.0,3903.0,9675.0,19894.0
1303,投資活動之現金流量,-8118.0,-4457.0,-4039.0,-2812.0,-6201.0,6950.0,7662.0,-9702.0
1303,籌資活動之現金流量,3987.0,-1134.0,-4105.0,-26881.0,-12698.0,-2023.0,-5479.0,-16122.0
1303,本期產生現金流量,6268.0,1046.0,393.0,-8272.0,-10624.0,5396.0,13034.0,-7274.0
1304,來自營運之現金流量,745.0,384.0,1241.0,2576.0,65.0,449.0,1882.0,1421.0
1304,投資活動之現金流量,14.0,-267.0,-809.0,-3074.0,-3727.0,397.0,-692.0,-378.0
1304,籌資活動之現金流量,-169.0,427.0,-101.0,-1056.0,-179.0,486.0,-57.0,-1496.0
1304,本期產生現金流量,693.0,398.0,588.0,-1370.0,-3582.0,914.0,1344.0,-787.0
1305,來自營運之現金流量,389.0,312.0,169.0,862.0,514.0,66.0,564.0,479.0
1305,投資活動之現金流量,-118.0,-138.0,-205.0,-244.0,-480.0,-87.0,-168.0,-213.0
1305,籌資活動之現金流量,0.0,1.0,-1.0,-867.0,-489.0,27.0,59.0,-690.0
1305,本期產生現金流量,277.0,170.0,-40.0,-249.0,-454.0,-3.0,467.0,-437.0
1307,來自營運之現金流量,-58.0,-62.0,331.0,268.0,495.0,76.0,774.0,405.0
1307,投資活動之現金流量,-87.0,-156.0,-391.0,-249.0,106.0,-697.0,162.0,-445.0
1307,籌資活動之現金流量,65.0,130.0,-570.0,-272.0,91.0,-245.0,-124.0,-29.0
1307,本期產生現金流量,114.0,-183.0,-732.0,-272.0,715.0,-1189.0,942.0,-211.0
1308,來自營運之現金流量,269.0,15.0,617.0,800.0,-225.0,-229.0,290.0,65.0
1308,投資活動之現金流量,-43.0,-19.0,-17.0,-496.0,-79.0,-760.0,-9.0,-33.0
