,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1101,營業收入淨額,33321.0,24179.0,29360.0,23058.0,24714.0,21180.0,26548.0,22350.0
1101,營業利益,8979.0,4651.0,4715.0,3246.0,4061.0,1942.0,4999.0,3781.0
1101,營業外收入及支出,844.0,-33.0,-117.0,226.0,18.0,-266.0,-1255.0,245.0
1101,稅後淨利,7638.0,2854.0,3963.0,2679.0,3069.0,1273.0,3589.0,3275.0
1101,每股盈餘,1.51,0.69,0.71,0.53,0.58,0.23,0.49,0.63
1102,營業收入淨額,21917.0,16155.0,19171.0,15976.0,15829.0,12184.0,16509.0,14556.0
1102,營業利益,5051.0,2674.0,3239.0,1825.0,1931.0,442.0,2194.0,1480.0
1102,營業外收入及支出,1737.0,377.0,31.0,815.0,538.0,-322.0,958.0,-101.0
1102,稅後淨利,5198.0,2275.0,2441.0,2197.0,1877.0,67.0,1705.0,1154.0
1102,每股盈餘,1.38,0.6,0.54,0.61,0.51,0.08,0.51,0.3
1103,營業收入淨額,414.0,355.0,415.0,404.0,335.0,482.0,920.0,629.0
1103,營業利益,29.0,-51.0,-133.0,-106.0,-15.0,24.0,-262.0,-43.0
1103,營業外收入及支出,-10.0,244.0,1202.0,139.0,83.0,-113.0,413.0,207.0
1103,稅後淨利,-274.0,-119.0,-246.0,30.0,28.0,-119.0,122.0,-28.0
1103,每股盈餘,0.38,0.24,1.46,0.09,0.02,-0.17,0.22,0.21
1104,營業收入淨額,1149.0,1166.0,1118.0,1128.0,1059.0,1101.0,1259.0,1037.0
1104,營業利益,22.0,49.0,15.0,52.0,35.0,48.0,88.0,68.0
1104,營業外收入及支出,445.0,-39.0,342.0,275.0,419.0,239.0,412.0,303.0
1104,稅後淨利,406.0,-3.0,373.0,322.0,387.0,279.0,481.0,350.0
1104,每股盈餘,0.63,0.01,0.59,0.53,0.6,0.45,0.77,0.56
1108,營業收入淨額,852.0,833.0,842.0,831.0,869.0,896.0,1093.0,1063.0
1108,營業利益,2.0,-35.0,-140.0,-10.0,22.0,28.0,62.0,98.0
1108,營業外收入及支出,-5.0,4.0,-9.0,-1.0,-4.0,-5.0,-12.0,-2.0
1108,稅後淨利,-4.0,-6.0,-124.0,-7.0,10.0,19.0,42.0,72.0
1108,每股盈餘,0.0,-0.01,-0.3,-0.02,0.02,0.05,0.1,0.2
1109,營業收入淨額,1737.0,1051.0,1661.0,1416.0,1338.0,960.0,1348.0,1010.0
