,公司代號,一年內最高價,一年內最低價,收盤價
0,1101,47.30,33.35,37.95
0,1102,45.75,26.20,38.40
0,1103,15.65,10.80,12.80
0,1104,24.20,19.05,20.15
0,1108,8.90,7.48,7.77
0,1109,16.95,11.55,15.00
0,1110,15.10,13.50,13.85
0,1201,25.50,18.30,22.30
0,1203,28.30,22.50,25.25
0,1210,42.15,30.90,35.35
0,1213,17.25,12.35,12.55
0,1215,71.00,48.00,49.95
0,1216,83.80,61.70,75.70
0,1217,8.50,7.04,7.45
0,1218,22.20,15.85,17.50
0,1219,19.15,17.20,18.35
0,1220,13.00,10.05,11.80
0,1225,91.70,60.00,85.50
0,1227,76.00,50.10,51.90
0,1229,41.10,28.65,33.95
0,1231,39.50,32.80,35.70
0,1232,97.50,89.40,96.80
0,1233,40.75,34.10,38.50
0,1234,32.15,30.30,30.90
0,1235,43.00,32.20,38.65
0,1236,18.30,16.25,16.40
0,1702,65.70,50.30,51.70
0,1737,32.00,26.70,30.20
0,1301,114.00,90.60,111.50
0,1303,88.40,73.10,83.40
0,1304,17.00,13.55,13.60
0,1305,35.85,25.65,25.95
0,1307,35.80,27.10,27.40
0,1308,20.10,15.80,16.10
0,1309,18.15,10.20,13.15
0,1310,25.10,19.35,21.30
0,1312,35.15,22.10,27.65
0,1313,21.60,14.25,14.25
0,1314,16.50,12.35,13.20
0,1315,27.60,25.10,26.45
0,1319,67.40,40.40,40.75
0,1321,30.75,26.30,26.80
0,1323,42.00,31.60,36.20
0,1324,16.20,11.55,11.70
0,1325,19.90,17.05,17.50
0,1326,127.00,90.60,118.50
0,1339,46.00,38.10,38.20
0,4306,21.80,13.00,14.50
0,1402,37.25,23.85,34.50
0,1409,14.40,8.83,12.25
0,1410,24.75,22.20,22.85
0,1413,17.40,7.50,13.00
0,1414,8.88,6.26,7.45
0,1416,22.25,14.50,14.60
0,1417,7.29,4.48,4.93
0,1418,12.40,3.77,8.43
0,1419,49.50,39.45,44.55
0,1423,12.00,7.28,9.99
0,1434,36.20,29.60,34.40
0,1439,54.50,18.80,26.75
0,1440,15.35,12.85,13.15
0,1441,17.30,6.60,12.70
0,1443,8.58,4.75,7.10
0,1444,13.70,9.90,10.70
0,1445,8.79,7.76,7.90
0,1446,29.50,20.00,24.65
0,1447,9.51,7.43,8.69
0,1449,7.00,4.78,4.99
0,1451,36.15,22.25,23.45
0,1452,25.20,18.80,19.10
0,1453,12.30,7.85,8.88
0,1454,8.71,7.91,7.91
0,1455,13.95,9.18,10.20
0,1456,12.00,8.19,8.45
