公司代號,營業收入淨額,每股盈餘,加權平均股數
1101,98312,2.03,3738
1102,64899,1.74,3139
1103,2096,1.39,644
1104,4405,2.16,654
1108,3434,-0.25,405
1109,5376,1.32,372
1110,1717,0.11,570
1201,17749,1.31,506
1203,6195,1.86,238
1210,75931,3.28,684
1213,650,0.04,57
1215,19865,5.35,268
1216,399861,7.01,5682
1217,4146,0.27,495
1218,7682,0.93,340
1219,10823,0.44,322
1220,2367,0.44,177
1225,10757,1.13,219
1227,26478,2.39,908
1229,4845,3.11,956
1231,7031,2.54,160
1232,16884,5.11,160
1233,2130,1.94,91
1234,9090,1.35,402
1235,77,5.23,59
1236,1879,0.05,108
1702,17173,4.01,248
1737,2757,1.77,200
1301,206710,7.76,6366
1303,306140,6.87,7931
1304,58134,1.06,1051
1305,14702,2.58,492
1307,9855,2.27,398
1308,6404,1.09,518
1309,19821,1.53,328
1310,14751,2.0,528
1312,23351,3.64,901
1313,50600,2.02,1162
1314,33336,2.55,2391
1315,2655,0.9,191
1319,24453,3.96,591
1321,4467,-0.37,221
1323,3242,2.76,91
1324,1227,0.8,75
1325,865,0.51,85
1326,358421,9.33,5834
1339,2837,3.72,74
4306,18978,1.3,453
1402,217847,1.61,4999
1409,36062,0.6,1614
1410,533,1.28,72
1413,3144,0.88,132
1414,793,0.41,220
1416,2246,1.13,198
1417,2032,-1.21,380
1418,1638,-7.42,43
1419,1488,4.15,299
1423,681,0.27,173
1434,40706,2.54,1682
1439,263,-0.07,92
1440,21063,0.45,1657
1441,1623,-3.82,72
1443,1166,-1.79,135
1444,11105,-0.01,952
1445,1610,0.09,139
1446,527,-0.29,138
1447,16592,-0.21,870
1449,2667,0.47,120
1451,9037,0.94,300
1452,2114,1.63,133
1453,64,-0.3,90
1454,1890,0.14,133
1455,14975,0.59,612
1456,1009,0.41,94
1457,5056,2.52,240
1459,3406,0.3,317
1460,8847,0.47,455
1463,1721,3.5,163
1464,7933,1.21,307
1465,1874,0.25,104
1466,3966,-0.03,111
1467,7259,-0.36,210
1468,599,-0.59,160
1470,701,0.49,86
1472,757,-1.08,42
1473,8329,0.64,146
1474,3362,0.84,130
1475,124,-12.31,16
1476,24232,11.12,274
1477,22375,6.18,208
4414,10088,-0.71,519
4426,1897,1.47,140
4438,10204,5.07,103
1503,22214,2.55,521
1504,50943,1.56,1980
1506,1363,-0.12,122
1507,16752,2.76,409
1512,2540,-3.09,182
1513,11397,1.19,411
1514,3784,0.58,199
1515,5316,1.49,181
1517,2814,-0.18,228
1519,5870,0.36,261
1521,6197,6.55,76
1522,16064,2.12,312
1524,2638,0.92,180
1525,1169,7.36,73
1526,1340,2.71,50
1527,3836,1.48,138
1528,4465,0.55,176
1529,766,0.11,558
1530,4232,1.83,97
1531,2254,0.85,185
1532,14518,1.58,385
1533,2488,1.15,99
1535,9971,1.51,124
1536,6719,4.81,251
1537,7773,11.04,82
1538,644,-1.85,83
1539,2800,1.17,65
1540,578,0.54,85
1541,3653,1.71,79
1558,5994,8.68,61
1560,4525,5.2,141
1568,3358,1.86,103
1583,7578,3.44,110
1587,1353,0.27,60
2049,21165,9.77,280
2228,4326,7.26,76
2231,3520,10.0,101
2371,75553,0.03,2234
3167,3541,4.34,80
3346,4088,3.81,68
4526,9763,-0.93,255
4532,19827,2.1,487
4540,2709,2.5,85
4551,4049,7.32,82
4555,1474,2.41,67
4562,1505,2.24,63
4566,3335,3.41,58
6605,16113,6.04,166
8222,841,0.4,68
8374,3785,2.04,88
8996,1779,0.63,89
1603,2698,1.77,159
1604,8669,0.67,465
1605,167793,1.97,3326
1608,8299,1.04,424
1609,16743,0.83,560
1611,2706,1.55,398
1612,3572,0.65,316
1614,4989,0.82,259
1615,2739,1.31,112
1616,2867,-0.58,189
1617,3350,0.81,143
1618,2119,0.35,241
4930,11813,-1.09,134
1316,2160,3.17,106
1704,45320,4.2,853
1708,3877,2.44,201
1709,8788,1.32,478
1710,28920,2.01,872
1711,9169,0.67,548
1712,17284,1.5,386
1713,664,0.48,151
1714,31430,0.34,1003
1717,41551,1.65,1159
1718,36451,0.7,1133
1721,3409,0.32,222
1722,11659,1.65,980
1723,6242,5.0,232
1724,2101,0.68,128
1725,10167,1.19,181
1726,7658,4.88,162
1727,2450,0.84,110
1730,2024,3.13,58
1732,592,0.17,42
1735,3325,0.63,99
1773,6840,5.86,150
1776,2120,1.35,70
3708,4905,2.46,89
4720,2838,0.33,89
4722,4951,3.1,95
4725,13193,-1.21,292
4739,4981,5.4,76
4755,3979,4.26,91
4764,4105,5.22,63
1598,4458,-1.62,93
1701,6245,1.05,297
1707,9388,10.03,135
1720,3849,2.03,179
1731,1575,0.65,133
1733,1795,0.86,100
1734,2134,0.22,168
1736,19494,0.43,303
1760,1212,1.33,68
1762,1168,1.11,78
1783,428,0.23,69
1786,258,0.33,52
1789,3516,0.53,791
3164,553,0.51,89
3705,6623,1.93,266
4104,6095,3.12,128
4106,2089,1.42,83
4108,54,-1.26,164
4119,1301,2.41,79
4133,475,0.97,61
4142,563,-3.24,235
4155,1233,2.0,63
4164,2117,-0.62,140
4737,1820,2.52,59
4746,2539,2.62,91
1802,44870,0.73,2908
1806,4896,-0.21,434
1809,2419,-0.09,167
1810,5709,0.46,368
1817,2270,3.58,73
1902,3011,0.58,402
1903,186,-0.66,260
1904,42664,1.29,1108
1905,22708,0.56,1103
1906,1816,2.77,151
1907,66770,0.97,1660
1909,46717,3.5,1110
2002,347012,1.09,15420
2006,31749,1.72,1000
2007,7993,-0.35,531
2008,1270,-1.02,221
2009,3050,0.75,360
2010,17266,0.6,648
2012,8997,0.88,264
2013,16504,0.28,193
2014,40792,1.82,1436
2015,24742,4.69,582
2017,4393,1.0,321
2020,4867,1.46,234
2022,7834,-0.16,547
2023,71159,0.75,1821
2024,1435,1.05,98
2025,3646,0.55,281
2027,64425,1.25,868
2028,9739,1.95,326
2029,13769,2.32,321
2030,12642,1.98,272
2031,8352,3.49,306
2032,2790,0.12,131
2033,774,0.29,81
2034,19266,2.0,407
2038,5266,0.06,181
2069,8544,1.55,135
3004,1748,3.52,53
5007,7259,3.84,295
9958,2050,0.32,186
2101,11326,0.79,802
2102,5585,-1.52,460
2103,31766,1.06,826
2104,20114,3.69,617
2105,112309,1.71,3241
2106,30533,0.38,874
2107,1727,0.47,405
2108,11648,1.74,469
2109,5743,-2.94,332
2114,1634,5.02,68
6582,2973,3.46,100
2201,94111,1.56,1463
2204,38908,3.01,1363
2206,31679,0.6,853
2207,179051,18.52,546
2227,33222,22.14,300
2302,450,-0.2,166
2303,149285,0.79,12208
2329,13886,-0.89,806
2330,977447,13.23,25930
2337,34197,3.12,1766
2338,1427,-0.33,226
2342,1636,-0.32,76
2344,47592,1.54,3609
2351,9581,3.93,182
2363,212,-0.5,560
2369,6064,0.35,374
2379,41688,6.71,505
2388,4512,0.1,493
2401,6820,0.72,588
2408,54918,14.36,2806
2434,262,-1.83,71
2436,2381,1.02,221
2441,11952,4.41,569
2449,19687,1.88,1188
2451,20965,6.17,431
2454,238216,15.56,1564
2458,7503,2.58,416
2481,11894,-0.92,370
3006,10457,3.11,278
3014,3173,2.47,158
3016,3343,0.74,244
3034,47074,8.26,609
3035,5343,3.4,246
3041,3187,-1.6,294
3054,348,0.69,118
3094,307,0.63,84
3189,22335,1.1,446
3257,761,1.02,69
3413,8168,13.63,79
3443,12161,6.38,134
3519,11807,-1.49,415
3530,1715,3.02,68
3532,12713,2.89,776
3536,1307,0.05,100
3545,10798,-0.28,289
3579,12144,-2.68,116
3583,3539,4.05,81
3588,1023,0.45,46
3686,949,-1.98,350
3711,,,
4919,9235,3.32,208
4952,3152,3.3,109
4968,2666,2.59,55
5269,2975,7.23,60
5285,3710,4.17,78
5305,11505,1.8,311
5471,3341,1.41,168
6202,4615,4.1,226
6239,59632,7.51,778
6243,497,-1.47,75
6257,6832,2.76,358
6271,7746,5.91,165
6531,4237,3.58,70
6533,289,0.54,40
6552,1323,0.04,100
8016,9431,7.32,119
8028,1856,1.43,117
8081,3938,3.7,86
8110,9432,1.39,483
8131,7888,3.15,442
8150,17941,3.57,847
8261,2130,0.48,81
8271,10043,4.02,101
2301,214564,1.13,2324
2305,647,2.54,203
2324,887657,1.32,4345
2331,29947,0.4,557
2352,136862,2.69,1967
2353,237275,0.93,3026
2356,467512,1.88,3587
2357,433967,20.93,743
2362,20877,1.12,643
2364,602,-1.24,155
2365,2331,0.19,252
2376,59885,4.41,631
2377,106420,5.84,845
2380,2029,-3.06,208
2382,1021183,3.73,3855
2387,11643,0.9,237
2395,44375,8.84,697
2397,3717,3.65,115
2399,3443,0.56,178
2405,4761,-0.46,330
2417,2513,-0.3,193
2424,24,-1.64,30
2425,5773,-0.52,109
2442,1922,-0.44,235
2465,2943,-1.08,54
3002,666,0.73,102
3005,22197,3.38,566
3013,4840,1.25,170
3017,27109,2.51,353
3022,6896,2.82,328
3046,1355,-3.09,39
3057,1833,-3.73,161
3060,7665,0.34,159
3231,836081,1.48,2629
3416,1415,2.18,62
3494,1227,-1.88,179
3515,9212,4.02,117
3701,7798,0.29,380
3706,48761,3.24,798
4916,5571,1.06,79
4938,1193809,5.66,2593
5258,2611,0.8,74
6117,1923,3.2,89
6128,1686,5.22,88
6166,10668,1.79,217
6172,283,-0.19,30
6206,6565,5.06,146
6230,7067,5.79,86
6235,3108,0.5,165
6277,4947,6.08,119
6414,34904,14.81,76
6579,5412,5.6,100
8114,5673,8.0,75
8163,17664,2.07,280
8210,5514,3.8,120
9912,744,0.16,52
2323,9156,-0.61,1838
2340,5590,1.33,507
2349,9797,-1.4,1739
2374,11202,0.77,281
2393,27311,2.74,440
2406,12609,-7.78,339
2409,341028,3.36,9624
2426,3125,0.66,296
2438,516,-0.81,95
2448,25271,1.55,1067
2466,2163,0.01,156
2475,34740,0.46,6479
2486,4135,-0.86,194
2489,16862,-1.1,809
2491,390,0.51,76
2499,5739,-4.93,374
3008,53128,193.65,134
3019,18687,2.21,281
3024,2599,0.12,277
3031,1973,1.12,187
3038,3005,0.33,164
3049,2718,0.19,737
3050,816,0.86,149
3051,2333,-0.66,325
3059,10553,0.05,266
3149,3625,0.11,177
3356,1588,-1.98,88
3383,1225,-2.01,308
3406,8008,10.5,100
3437,5978,0.68,144
3454,5877,5.27,82
3481,329174,3.72,9952
3504,4455,-1.31,114
3514,14306,-2.93,510
3535,1038,-1.63,79
3557,51,-2.97,77
3561,6282,-2.51,371
3576,10248,-4.08,1017
3591,2586,-1.55,123
3622,894,-0.04,151
3669,1954,0.47,93
3698,12039,0.25,520
4934,5966,-2.67,357
4942,6278,1.75,142
4956,1235,0.62,100
4960,11441,-2.18,561
4976,1497,0.1,107
5234,3917,5.07,93
5259,203,-4.7,29
5484,568,-0.9,116
6116,23744,2.07,3234
6120,27928,0.58,666
6131,37,1.7,102
6164,1240,0.37,100
6168,3014,1.12,203
6176,54400,6.57,465
6209,3655,-0.85,163
6225,2,-0.13,99
6226,1078,0.18,96
6278,26330,2.64,292
6288,2636,0.47,150
6289,227,-0.5,269
6405,860,0.32,66
6443,6636,-2.2,432
6477,1273,0.91,82
8105,12462,1.37,442
8215,11133,1.64,321
2314,7551,0.73,219
2321,3085,-0.21,297
2332,19316,-0.3,644
2345,36447,4.68,547
2412,227514,5.01,7757
2419,8548,1.42,230
2439,26679,18.94,191
2444,1537,0.14,92
2450,35738,3.3,250
2455,2137,2.15,183
2485,8670,0.1,318
2496,822,9.37,17
2498,62120,-20.58,822
3025,528,0.22,71
3027,813,-2.31,99
3045,117171,5.21,2722
3047,5633,-0.98,183
3062,9238,0.43,328
3311,2285,-0.46,179
3380,19057,1.26,434
3419,2133,-0.67,120
3596,20110,3.21,189
3682,13707,-0.93,4298
3694,6229,0.26,132
3704,19141,-1.32,432
4904,92070,3.33,3259
4906,13581,1.01,309
5388,38600,5.38,244
6136,706,1.72,116
6142,3340,-0.77,268
6152,8158,-1.16,166
6216,981,2.38,81
6285,56890,5.76,358
6416,4036,5.61,60
6442,2900,0.71,66
8011,2047,0.36,114
8101,16330,-1.63,416
1471,1270,-2.32,195
1582,8871,5.42,161
2059,4111,9.54,95
2308,223578,7.08,2598
2313,53964,3.0,1192
2316,5377,-0.03,264
2327,32259,16.09,426
2328,26238,1.33,518
2355,23646,3.78,397
2367,18131,1.24,546
2368,19166,-0.5,539
2375,2925,2.52,92
2383,23610,8.74,319
2385,78156,5.92,680
2392,93624,2.6,512
2402,7180,-0.97,307
2413,3593,-0.98,127
2415,2262,1.65,86
2420,2928,3.02,153
2421,10947,2.62,251
2428,5827,8.47,128
2429,1060,-2.21,37
2431,2303,-0.34,111
2440,3102,0.84,139
2456,12640,5.64,208
2457,11284,0.02,327
2460,3863,-0.01,169
2462,4424,0.21,142
2467,5003,2.7,149
2472,7180,3.57,129
2476,5143,2.1,182
2478,4078,1.05,180
2483,1793,1.46,111
2484,3259,1.05,159
2492,21645,5.15,506
2493,2282,2.16,114
3003,3310,3.2,156
3011,1095,-0.91,113
3015,14416,1.64,192
3021,2094,1.15,95
