,0,1,2
0,1101,2017,2.03
1,1101,2016,1.72
2,1101,2015,1.56
3,1101,2014,2.93
0,1102,2017,1.74
1,1102,2016,1.26
2,1102,2015,1.55
3,1102,2014,2.98
0,1103,2017,1.39
1,1103,2016,0.04
2,1103,2015,0.34
3,1103,2014,0.03
0,1104,2017,2.16
1,1104,2016,2.68
2,1104,2015,2.22
3,1104,2014,2.26
0,1108,2017,-0.25
1,1108,2016,0.78
2,1108,2015,1.16
3,1108,2014,0.94
0,1109,2017,1.32
1,1109,2016,0.42
2,1109,2015,0.04
3,1109,2014,0.67
0,1110,2017,0.11
1,1110,2016,0.19
2,1110,2015,0.25
3,1110,2014,0.25
0,1201,2017,1.31
1,1201,2016,-1.53
2,1201,2015,-3.78
3,1201,2014,-0.5
0,1203,2017,1.86
1,1203,2016,1.78
2,1203,2015,1.12
3,1203,2014,1.12
0,1210,2017,3.28
1,1210,2016,3.01
2,1210,2015,0.87
3,1210,2014,1.7
0,1213,2017,0.04
1,1213,2016,0.27
2,1213,2015,0.32
3,1213,2014,0.22
0,1215,2017,5.35
1,1215,2016,4.71
2,1215,2015,2.57
3,1215,2014,3.21
0,1216,2017,7.01
1,1216,2016,2.56
2,1216,2015,2.48
3,1216,2014,2.04
0,1217,2017,0.27
1,1217,2016,0.21
2,1217,2015,0.1
3,1217,2014,-0.73
0,1218,2017,0.93
1,1218,2016,0.36
2,1218,2015,0.36
3,1218,2014,0.21
0,1219,2017,0.44
1,1219,2016,0.49
2,1219,2015,0.31
3,1219,2014,0.43
0,1220,2017,0.44
1,1220,2016,0.93
2,1220,2015,0.67
3,1220,2014,0.3
0,1225,2017,1.13
1,1225,2016,1.76
2,1225,2015,2.55
3,1225,2014,0.22
0,1227,2017,2.39
1,1227,2016,2.98
2,1227,2015,3.47
3,1227,2014,2.9
0,1229,2017,3.11
1,1229,2016,2.37
2,1229,2015,1.59
3,1229,2014,2.01
0,1231,2017,2.54
1,1231,2016,3.07
2,1231,2015,2.41
3,1231,2014,1.51
0,1232,2017,5.11
1,1232,2016,5.58
2,1232,2015,5.7
3,1232,2014,6.17
0,1233,2017,1.94
1,1233,2016,1.87
2,1233,2015,2.31
3,1233,2014,2.54
0,1234,2017,1.35
1,1234,2016,2.75
2,1234,2015,1.54
3,1234,2014,0.98
0,1235,2017,5.23
1,1235,2016,3.81
2,1235,2015,0.8
3,1235,2014,0.97
0,1236,2017,0.05
1,1236,2016,0.69
2,1236,2015,0.94
3,1236,2014,1.55
0,1702,2017,4.01
1,1702,2016,4.86
2,1702,2015,4.49
3,1702,2014,3.82
0,1737,2017,1.77
1,1737,2016,1.76
2,1737,2015,1.34
3,1737,2014,1.07
0,1301,2017,7.76
1,1301,2016,6.19
2,1301,2015,4.85
3,1301,2014,2.81
0,1303,2017,6.87
1,1303,2016,6.16
2,1303,2015,4.5
3,1303,2014,4.0
0,1304,2017,1.06
1,1304,2016,1.15
2,1304,2015,0.85
3,1304,2014,0.62
0,1305,2017,2.58
1,1305,2016,3.02
2,1305,2015,1.64
3,1305,2014,0.25
0,1307,2017,2.27
1,1307,2016,3.13
2,1307,2015,2.85
3,1307,2014,2.59
0,1308,2017,1.09
1,1308,2016,1.32
2,1308,2015,1.08
3,1308,2014,1.06
0,1309,2017,1.53
1,1309,2016,0.37
2,1309,2015,0.21
3,1309,2014,-1.93
0,1310,2017,2.0
1,1310,2016,2.67
2,1310,2015,1.31
3,1310,2014,-0.07
0,1312,2017,3.64
1,1312,2016,2.65
2,1312,2015,1.62
3,1312,2014,0.31
0,1313,2017,2.02
1,1313,2016,0.96
2,1313,2015,-0.15
3,1313,2014,-0.21
0,1314,2017,2.55
1,1314,2016,-0.81
2,1314,2015,0.04
3,1314,2014,0.13
0,1315,2017,0.9
1,1315,2016,1.59
2,1315,2015,1.34
3,1315,2014,1.16
0,1319,2017,3.96
1,1319,2016,4.08
2,1319,2015,2.87
3,1319,2014,1.54
0,1321,2017,-0.37
1,1321,2016,-0.07
2,1321,2015,0.17
3,1321,2014,-0.66
0,1323,2017,2.76
1,1323,2016,3.11
2,1323,2015,2.55
3,1323,2014,3.03
0,1324,2017,0.8
1,1324,2016,0.86
2,1324,2015,0.77
3,1324,2014,0.57
0,1325,2017,0.51
1,1325,2016,1.16
2,1325,2015,1.0
3,1325,2014,0.58
0,1326,2017,9.33
1,1326,2016,7.5
2,1326,2015,4.72
3,1326,2014,1.8
0,1339,2017,3.72
1,1339,2016,4.13
2,1339,2015,4.6
3,1339,2014,4.57
0,4306,2017,1.3
1,4306,2016,-0.22
2,4306,2015,0.73
3,4306,2014,0.12
0,1402,2017,1.61
1,1402,2016,1.26
2,1402,2015,1.61
3,1402,2014,2.21
0,1409,2017,0.6
1,1409,2016,0.46
2,1409,2015,0.46
3,1409,2014,0.81
0,1410,2017,1.28
1,1410,2016,1.63
2,1410,2015,1.64
3,1410,2014,1.21
0,1413,2017,0.88
1,1413,2016,-0.47
2,1413,2015,0.03
3,1413,2014,-2.44
0,1414,2017,0.41
1,1414,2016,-0.01
2,1414,2015,0.03
3,1414,2014,0.21
0,1416,2017,1.13
1,1416,2016,4.69
2,1416,2015,-0.13
3,1416,2014,1.68
