,0
0,1101
1,1102
2,1103
3,1104
4,1108
5,1109
6,1110
7,1201
8,1203
9,1210
10,1213
11,1215
12,1216
13,1217
14,1218
15,1219
16,1220
17,1225
18,1227
19,1229
20,1231
21,1232
22,1233
23,1234
24,1235
25,1236
26,1702
27,1737
28,1301
29,1303
30,1304
31,1305
32,1307
33,1308
34,1309
35,1310
36,1312
37,1313
38,1314
39,1315
40,1319
41,1321
42,1323
43,1324
44,1325
45,1326
46,1339
47,4306
48,1402
49,1409
50,1410
51,1413
52,1414
53,1416
54,1417
55,1418
56,1419
57,1423
58,1434
59,1439
60,1440
61,1441
62,1443
63,1444
64,1445
65,1446
66,1447
67,1449
68,1451
69,1452
70,1453
71,1454
72,1455
73,1456
74,1457
75,1459
76,1460
77,1463
78,1464
79,1465
80,1466
81,1467
82,1468
83,1470
84,1472
85,1473
86,1474
87,1475
88,1476
89,1477
90,4414
91,4426
92,4438
93,1503
94,1504
95,1506
96,1507
97,1512
98,1513
99,1514
100,1515
101,1517
102,1519
103,1521
104,1522
105,1524
106,1525
107,1526
108,1527
109,1528
110,1529
111,1530
112,1531
113,1532
114,1533
115,1535
116,1536
117,1537
118,1538
119,1539
120,1540
121,1541
122,1558
123,1560
124,1568
125,1583
126,1587
127,2049
128,2228
129,2231
130,2371
131,3167
132,3346
133,4526
134,4532
135,4540
136,4551
137,4555
138,4562
139,4566
140,6605
141,8222
142,8374
143,8996
144,1603
145,1604
146,1605
147,1608
148,1609
149,1611
150,1612
151,1614
152,1615
153,1616
154,1617
155,1618
156,4930
157,1316
158,1704
159,1708
160,1709
161,1710
162,1711
163,1712
164,1713
165,1714
166,1717
167,1718
168,1721
169,1722
170,1723
171,1724
172,1725
173,1726
174,1727
175,1730
176,1732
177,1735
178,1773
179,1776
180,3708
181,4720
182,4722
183,4725
184,4739
185,4755
186,4764
187,1598
188,1701
189,1707
190,1720
191,1731
192,1733
193,1734
194,1736
195,1760
196,1762
197,1783
198,1786
199,1789
200,3164
201,3705
202,4104
203,4106
204,4108
205,4119
206,4133
207,4142
208,4155
209,4164
210,4737
211,4746
212,1802
213,1806
214,1809
215,1810
216,1817
217,1902
218,1903
219,1904
