,0,1
0,1101,38
1,1102,36.1
2,1103,13.05
3,1104,20.2
4,1108,7.85
5,1109,14.9
6,1110,13.95
7,1201,22.5
8,1203,25.35
9,1210,36.05
10,1213,12.75
11,1215,50.8
12,1216,76.8
13,1217,7.54
14,1218,17.9
15,1219,18.5
16,1220,11.8
17,1225,85
18,1227,52.2
19,1229,34.35
20,1231,35.8
21,1232,96.8
22,1233,38.3
23,1234,30.95
24,1235,39
25,1236,16.3
26,1702,51.6
27,1737,30.2
28,1301,111
29,1303,84
30,1304,13.6
31,1305,25.25
32,1307,27.5
33,1308,16
34,1309,13.35
35,1310,21.4
36,1312,27.7
37,1313,14.3
38,1314,13.3
39,1315,26.5
40,1319,41
41,1321,26.85
42,1323,35.85
43,1324,11.8
44,1325,17.6
45,1326,118.5
46,1339,38.55
47,4306,14.75
48,1402,35.45
49,1409,12.5
50,1410,22.65
51,1413,12.95
52,1414,7.48
53,1416,14.55
54,1417,5.16
55,1418,8.43
56,1419,44.4
57,1423,10.05
58,1434,34.9
59,1439,26.7
60,1440,13.45
61,1441,13.55
62,1443,7.04
63,1444,10.85
64,1445,7.85
65,1446,24.35
66,1447,8.86
67,1449,4.94
68,1451,23.55
69,1452,19.15
70,1453,8.88
71,1454,7.92
72,1455,10.35
73,1456,8.39
74,1457,13.35
75,1459,9.42
76,1460,13.75
77,1463,15.5
78,1464,21.8
79,1465,14.05
80,1466,10.45
81,1467,10.7
82,1468,11.2
83,1470,18.3
84,1472,27.5
85,1473,19.95
86,1474,11.1
87,1475,12.7
88,1476,381
89,1477,150.5
90,4414,14.05
91,4426,44.8
92,4438,137
93,1503,42.4
94,1504,21.4
95,1506,21.5
96,1507,46.7
97,1512,10.05
98,1513,20.15
99,1514,13.7
100,1515,43.55
101,1517,10.2
102,1519,22.3
103,1521,67.4
104,1522,28
105,1524,10.2
106,1525,64
107,1526,29.8
108,1527,54.9
109,1528,12.15
110,1529,2.76
111,1530,32.7
112,1531,17.9
113,1532,31.1
114,1533,35.45
115,1535,36.3
116,1536,125
117,1537,139.5
118,1538,5.34
119,1539,28.3
120,1540,17.2
121,1541,30.85
122,1558,138
123,1560,64.6
124,1568,19.1
125,1583,61
