,shit,id,去年同月增減(%)
0,0,1101,29.3
1,1,1102,32.67
2,2,1103,-6.48
3,3,1104,3.15
4,4,1108,-4.08
5,5,1109,32.58
6,6,1110,-45.07
7,7,1201,10.21
8,8,1203,-4.21
9,9,1210,-9.17
10,10,1213,-23.72
11,11,1215,4.04
12,12,1216,4.88
13,13,1217,-8.7
14,14,1218,4.78
15,15,1219,3.27
16,16,1220,21.72
17,17,1225,6.03
18,18,1227,-2.05
19,19,1229,2.32
20,20,1231,20.1
21,21,1232,-7.88
22,22,1233,7.66
23,23,1234,-4.79
24,24,1235,-79.77
25,25,1236,-23.53
26,26,1702,-12.52
27,27,1737,-12.71
28,28,1301,2.75
29,29,1303,7.54
30,30,1304,-7.55
31,31,1305,-11.05
32,32,1307,-6.92
33,33,1308,-17.98
34,34,1309,-7.37
35,35,1310,9.11
36,36,1312,0.51
37,37,1313,1.47
38,38,1314,54.47
39,39,1315,-4.81
40,40,1319,-7.29
41,41,1321,-31.87
42,42,1323,9.12
43,43,1324,-22.57
44,44,1325,0.23
45,45,1326,24.71
46,46,1339,-7.36
47,47,4306,-1.98
48,48,1402,12.68
49,49,1409,14.33
50,50,1410,-16.98
51,51,1413,42.2
52,52,1414,74.91
53,53,1416,60.26
54,54,1417,-18.98
55,55,1418,-64.48
56,56,1419,15.13
57,57,1423,21.18
58,58,1434,12.99
59,59,1439,88.27
60,60,1440,12.54
61,61,1441,-20.32
62,62,1443,-23.38
63,63,1444,-0.41
64,64,1445,-7.38
65,65,1446,-21.16
66,66,1447,13.26
67,67,1449,-3.43
68,68,1451,11.47
69,69,1452,15.7
70,70,1453,57.59
71,71,1454,1.13
72,72,1455,4.08
73,73,1456,-5.42
74,74,1457,22.69
75,75,1459,-8.09
76,76,1460,6.08
77,77,1463,-31.93
78,78,1464,16.87
79,79,1465,5.43
80,80,1466,25.34
81,81,1467,-4.74
82,82,1468,69.32
83,83,1470,2.88
84,84,1472,-29.32
85,85,1473,-8.6
86,86,1474,-5.13
87,87,1475,-47.25
88,88,1476,4.9
89,89,1477,23.02
90,90,4414,29.92
91,91,4426,19.97
92,92,4438,12.34
93,93,1503,12.6
94,94,1504,-2.6
95,95,1506,-12.05
96,96,1507,-7.21
97,97,1512,50.32
98,98,1513,113.78
99,99,1514,-20.14
100,100,1515,-14.26
101,101,1517,-0.88
102,102,1519,39.08
103,103,1521,-32.77
104,104,1522,-4.15
105,105,1524,-7.36
106,106,1525,24.12
107,107,1526,-29.07
108,108,1527,3.73
109,109,1528,2.51
110,110,1529,-10.99
111,111,1530,5.61
112,112,1531,19.33
113,113,1532,108.22
114,114,1533,1.07
115,115,1535,-9.29
116,116,1536,0.64
117,117,1537,5.92
118,118,1538,-18.78
119,119,1539,-12.45
120,120,1540,48.73
121,121,1541,-14.26
122,122,1558,64.59
123,123,1560,15.51
124,124,1568,-33.14
125,125,1583,-1.53
126,126,1587,11.17
127,127,2049,46.21
128,128,2228,-9.43
129,129,2231,-0.06
130,130,2371,-30.9
131,131,3167,4.02
132,132,3346,-4.53
133,133,4526,-12.74
134,134,4532,-6.13
135,135,4540,-12.08
136,136,4551,6.46
137,137,4555,9.0
138,138,4562,1.62
139,139,4566,-4.35
140,140,6605,-4.08
141,141,8222,-5.42
142,142,8374,-16.14
143,143,8996,-5.66
144,144,1603,43.82
145,145,1604,-21.37
146,146,1605,-36.45
147,147,1608,6.28
148,148,1609,3.96
149,149,1611,-19.07
150,150,1612,16.13
151,151,1614,-5.42
152,152,1615,49.2
153,153,1616,-7.71
154,154,1617,-2.6
155,155,1618,13.14
156,156,4930,8.0
157,157,1316,-73.71
158,158,1704,9.53
159,159,1708,17.23
160,160,1709,9.35
161,161,1710,5.34
162,162,1711,7.4
163,163,1712,-0.76
164,164,1713,-26.53
165,165,1714,13.41
166,166,1717,-7.73
167,167,1718,7.96
168,168,1721,-10.64
169,169,1722,-12.54
170,170,1723,46.49
171,171,1724,-4.56
172,172,1725,-25.47
173,173,1726,1.38
174,174,1727,6.63
175,175,1730,103.22
176,176,1732,-21.39
177,177,1735,6.14
178,178,1773,11.07
179,179,1776,-18.01
180,180,3708,18.06
181,181,4720,7.81
182,182,4722,-19.77
183,183,4725,23.21
184,184,4739,11.9
185,185,4755,-6.17
186,186,4764,2.63
187,187,1598,30.13
188,188,1701,21.36
189,189,1707,-7.36
190,190,1720,-10.31
191,191,1731,-39.09
192,192,1733,21.11
193,193,1734,-5.39
194,194,1736,20.3
