,公司代號,年度,最高價,最低價
0,1101,18Q2,47.3,34.8
1,1101,2017,38.9,33.35
2,1101,2016,38.3,25.45
3,1101,2015,45.4,26.9
4,1101,2014,49.8,41.35
0,1102,18Q2,45.75,26.7
1,1102,2017,32,25.5
2,1102,2016,31.15,23
3,1102,2015,39.85,26.85
4,1102,2014,44.5,35.6
0,1103,18Q2,15.65,10.8
1,1103,2017,13.55,8.6
2,1103,2016,9.78,8.15
3,1103,2015,14.75,7.97
4,1103,2014,17.1,13.65
0,1104,18Q2,23.35,19.05
1,1104,2017,27.25,22.05
2,1104,2016,26.15,19.7
3,1104,2015,32.95,18.65
4,1104,2014,32,25.4
0,1108,18Q2,8.82,7.48
1,1108,2017,10.45,8.29
2,1108,2016,10.45,8.96
3,1108,2015,11.8,9.1
4,1108,2014,11.05,7.88
0,1109,18Q2,16.95,12.7
1,1109,2017,13.7,9.96
2,1109,2016,11.5,9.6
3,1109,2015,14.7,9.6
4,1109,2014,16.6,11.55
0,1110,18Q2,14.75,13.5
1,1110,2017,17.2,13.9
2,1110,2016,16.55,13.4
3,1110,2015,18,12.1
4,1110,2014,17.8,13.9
0,1201,18Q2,25.5,20.2
1,1201,2017,21.55,17.35
2,1201,2016,23.2,16.65
3,1201,2015,26.8,15.85
4,1201,2014,52.5,21.95
0,1203,18Q2,28.3,25
1,1203,2017,26,22.5
2,1203,2016,23.3,21
3,1203,2015,24.8,19.2
4,1203,2014,26.3,21.4
0,1210,18Q2,42.15,31.5
1,1210,2017,36.4,28
2,1210,2016,31.25,19.55
3,1210,2015,28.4,15.85
4,1210,2014,37.3,25.1
0,1213,18Q2,16.2,12.7
1,1213,2017,18.2,14.8
2,1213,2016,21.55,14.5
3,1213,2015,23,12.55
4,1213,2014,26.3,18.35
0,1215,18Q2,71,48
1,1215,2017,78.8,44.9
2,1215,2016,49.8,21.4
3,1215,2015,29.6,17.4
4,1215,2014,29.6,15.4
0,1216,18Q2,83.8,64.6
1,1216,2017,66.9,52.4
2,1216,2016,67.4,50.3
3,1216,2015,60,48
4,1216,2014,58.6,46.7
0,1217,18Q2,8.5,7.04
1,1217,2017,8.79,7.32
2,1217,2016,8.97,7.07
3,1217,2015,9.45,5.7
4,1217,2014,10.4,7.5
0,1218,18Q2,22.2,15.85
1,1218,2017,24.7,13.75
2,1218,2016,18,11.2
3,1218,2015,13.65,9.5
4,1218,2014,15.2,10.8
0,1219,18Q2,19.15,17.2
1,1219,2017,19,15.6
2,1219,2016,16.5,13
3,1219,2015,16.45,13.45
4,1219,2014,18.15,14.3
0,1220,18Q2,13,10.05
1,1220,2017,11.6,10
2,1220,2016,12.45,9.81
3,1220,2015,11.15,9.6
4,1220,2014,11.25,9.76
0,1225,18Q2,91.7,66.2
1,1225,2017,70.4,46.7
2,1225,2016,54.8,24
3,1225,2015,26.25,19.45
4,1225,2014,28,10.35
0,1227,18Q2,75.3,50.1
1,1227,2017,82.6,72
2,1227,2016,84.7,74
3,1227,2015,97.3,63
4,1227,2014,94,64.6
0,1229,18Q2,41.1,33.9
1,1229,2017,36.9,22
2,1229,2016,22.85,18.3
3,1229,2015,21.9,17.4
4,1229,2014,22.35,18.7
0,1231,18Q2,39.5,32.85
1,1231,2017,37.3,31.15
2,1231,2016,33.8,26.4
3,1231,2015,37.3,22.95
4,1231,2014,45,28.5
0,1232,18Q2,97.5,89.9
1,1232,2017,96.2,84.1
2,1232,2016,88.5,72.9
3,1232,2015,81,66.5
4,1232,2014,83.5,60.3
0,1233,18Q2,40.75,34.4
1,1233,2017,39.1,34.1
2,1233,2016,40.8,34.2
3,1233,2015,47.3,35.5
4,1233,2014,54.2,45.3
0,1234,18Q2,32.15,30.3
1,1234,2017,34.5,30.75
2,1234,2016,36.8,30.35
3,1234,2015,38.8,30.8
4,1234,2014,39.9,31
0,1235,18Q2,43,32.45
1,1235,2017,40.8,26.65
2,1235,2016,31.95,18.4
3,1235,2015,28.6,16.1
4,1235,2014,52.5,20.05
0,1236,18Q2,18.3,16.25
1,1236,2017,18.9,16.3
2,1236,2016,21.65,18.15
3,1236,2015,26.55,19.55
4,1236,2014,30.3,23.5
0,1702,18Q2,65.7,50.3
1,1702,2017,67.5,57.1
2,1702,2016,72.5,56.6
3,1702,2015,77.4,54.1
4,1702,2014,72.1,40.75
0,1737,18Q2,32,26.7
1,1737,2017,32.15,27.25
2,1737,2016,36.4,26.05
3,1737,2015,30.25,17.65
4,1737,2014,30.95,23
0,1301,18Q2,114,95.5
1,1301,2017,98.8,86.5
2,1301,2016,92.5,70.1
3,1301,2015,81.7,59.5
4,1301,2014,80.6,65
0,1303,18Q2,88.4,75.2
1,1303,2017,80.2,69.2
2,1303,2016,74.5,54.9
3,1303,2015,79.5,49.85
4,1303,2014,75,58.6
0,1304,18Q2,17,13.55
1,1304,2017,18.2,14.5
2,1304,2016,17.15,11.75
3,1304,2015,19.5,10.5
4,1304,2014,22.35,13.4
0,1305,18Q2,35.55,24.6
1,1305,2017,37.6,22.9
2,1305,2016,28.05,12
3,1305,2015,16.2,10
4,1305,2014,17.25,9.7
0,1307,18Q2,34.4,27.1
1,1307,2017,38.95,33
2,1307,2016,41.6,33.2
3,1307,2015,58,29.65
4,1307,2014,32.1,28.1
0,1308,18Q2,19.35,15.8
1,1308,2017,20.15,17.85
2,1308,2016,20.95,15.8
3,1308,2015,25,14.25
4,1308,2014,28,18.2
0,1309,18Q2,18.15,11.3
1,1309,2017,15.8,8.76
2,1309,2016,11.7,6.7
3,1309,2015,10.2,6.79
4,1309,2014,12.85,7.88
0,1310,18Q2,25.1,19.45
1,1310,2017,25.45,19.1
2,1310,2016,22.05,14.45
3,1310,2015,17.45,10.75
4,1310,2014,25.1,11.55
0,1312,18Q2,35.15,25.7
1,1312,2017,33.35,18.6
2,1312,2016,23.3,13.4
3,1312,2015,21.8,12.8
4,1312,2014,24.55,11.9
0,1313,18Q2,21.6,14.2
1,1313,2017,19.6,12.4
2,1313,2016,13.65,8.03
3,1313,2015,12.15,8
4,1313,2014,14.65,9.9
0,1314,18Q2,16.45,12.35
1,1314,2017,16.5,9.95
2,1314,2016,10.75,7.11
3,1314,2015,12.8,6.8
4,1314,2014,14.15,8.48
0,1315,18Q2,27.6,25.5
1,1315,2017,27.6,24.75
2,1315,2016,25.85,21.85
3,1315,2015,28.9,20.9
4,1315,2014,30.25,27
0,1319,18Q2,60,40.4
1,1319,2017,67.4,49.65
2,1319,2016,76.8,37.85
3,1319,2015,41.95,25.05
4,1319,2014,47.65,28.25
0,1321,18Q2,30.6,26.3
1,1321,2017,34.8,24.45
2,1321,2016,28.25,23.8
3,1321,2015,39.45,22.75
4,1321,2014,50.5,33.9
0,1323,18Q2,41,31.9
1,1323,2017,42,30
2,1323,2016,37.6,22.5
3,1323,2015,39.45,19.75
4,1323,2014,42.8,28.7
0,1324,18Q2,16.2,11.55
1,1324,2017,13.8,12.05
2,1324,2016,13.8,10.7
3,1324,2015,15.1,9.2
4,1324,2014,18.8,12.8
0,1325,18Q2,19.9,17.05
1,1325,2017,23.05,19
2,1325,2016,21.35,18.95
3,1325,2015,24.4,17.85
4,1325,2014,23.6,17.7
0,1326,18Q2,127,101
1,1326,2017,105.5,88.1
2,1326,2016,100,66.7
3,1326,2015,80.4,59
4,1326,2014,84,61.8
0,1339,18Q2,45.2,38.1
1,1339,2017,57.3,37.7
2,1339,2016,64.3,35.05
3,1339,2015,115.5,47.65
4,1339,2014,114.5,46.1
0,4306,18Q2,21.8,13.15
1,4306,2017,15.1,11.9
2,4306,2016,14.25,11
3,4306,2015,16.45,10.75
4,4306,2014,23.65,15
0,1402,18Q2,37.25,23.85
1,1402,2017,28.1,23.6
2,1402,2016,28.5,21.9
3,1402,2015,34.95,24.25
4,1402,2014,35,29.4
0,1409,18Q2,14.4,8.83
1,1409,2017,11.1,8.76
2,1409,2016,9.64,8.07
3,1409,2015,11.55,7.02
4,1409,2014,12.3,9.52
0,1410,18Q2,24.7,22.2
1,1410,2017,30.7,22.8
2,1410,2016,25.3,23
3,1410,2015,29.55,20.3
4,1410,2014,27.5,22.2
0,1413,18Q2,17.4,7.66
1,1413,2017,9.75,5.4
2,1413,2016,7.6,5.5
3,1413,2015,10,5.7
4,1413,2014,5.9,3.12
0,1414,18Q2,8.88,7
1,1414,2017,7.81,6.02
2,1414,2016,6.79,5.52
3,1414,2015,9.87,5.9
4,1414,2014,11.35,7.5
0,1416,18Q2,18.85,14.45
1,1416,2017,30.2,16.05
2,1416,2016,26.95,16.8
3,1416,2015,19.7,14.3
4,1416,2014,21.4,16.1
0,1417,18Q2,7.29,4.48
1,1417,2017,5.99,4.62
2,1417,2016,5.9,4.34
3,1417,2015,9.04,4.46
4,1417,2014,9.05,7.4
0,1418,18Q2,12.4,7.18
1,1418,2017,12.95,3.77
2,1418,2016,6.21,4.03
3,1418,2015,7.68,2.66
4,1418,2014,8.69,5.96
0,1419,18Q2,49.5,41.8
1,1419,2017,45.6,39.05
2,1419,2016,44.65,33.35
3,1419,2015,40.7,31.1
4,1419,2014,42,37.05
0,1423,18Q2,12,7.81
1,1423,2017,8.85,6.62
2,1423,2016,7.16,6.1
3,1423,2015,8.65,5.93
4,1423,2014,8.46,7.2
0,1434,18Q2,36.2,30.05
1,1434,2017,33.6,29.25
2,1434,2016,32.65,27
3,1434,2015,38,26
4,1434,2014,36,27.75
0,1439,18Q2,54.5,19.85
1,1439,2017,27.4,15.25
2,1439,2016,22.75,12.8
3,1439,2015,19.3,10.4
4,1439,2014,15.7,13.05
0,1440,18Q2,15.35,12.85
1,1440,2017,16.2,12.1
2,1440,2016,15.15,11.45
3,1440,2015,18.7,12.1
4,1440,2014,23.55,15.5
0,1441,18Q2,17.3,6.88
1,1441,2017,9.99,6.15
2,1441,2016,8.28,6.05
3,1441,2015,10.65,6.5
4,1441,2014,10.65,8.99
0,1443,18Q2,8.58,5.01
1,1443,2017,6.86,4.31
2,1443,2016,5.6,4.12
3,1443,2015,7.27,4.19
4,1443,2014,9.42,5.63
0,1444,18Q2,13.7,9.9
1,1444,2017,12.35,7.31
2,1444,2016,10.1,7.16
3,1444,2015,11.4,7.78
4,1444,2014,11.25,8.2
0,1445,18Q2,8.79,7.76
1,1445,2017,9.6,8.21
2,1445,2016,10.95,8.52
3,1445,2015,12.5,7.91
4,1445,2014,11.25,8.45
0,1446,18Q2,29.5,20
1,1446,2017,27.3,17.3
2,1446,2016,22.05,14.7
3,1446,2015,30.4,17
4,1446,2014,33.9,25
0,1447,18Q2,9.51,7.43
1,1447,2017,9.46,7.18
2,1447,2016,9.2,6.54
3,1447,2015,12.7,6.6
4,1447,2014,15.2,9.79
0,1449,18Q2,7,4.78
1,1449,2017,6.8,4.01
2,1449,2016,6.1,3.5
3,1449,2015,9.19,3.55
4,1449,2014,4.2,1.32
0,1451,18Q2,27.75,22.9
1,1451,2017,36.15,20.1
2,1451,2016,25.4,20.5
3,1451,2015,28.9,17.1
4,1451,2014,32.2,24.15
0,1452,18Q2,23.35,18.8
1,1452,2017,27.35,20
2,1452,2016,25.8,17.5
3,1452,2015,42.7,12.65
4,1452,2014,13.1,10.3
0,1453,18Q2,12.3,8.55
1,1453,2017,10.85,7.55
2,1453,2016,9.39,7.5
3,1453,2015,15.3,6.96
4,1453,2014,10.8,8.4
0,1454,18Q2,8.66,7.77
1,1454,2017,8.99,8.12
2,1454,2016,9.74,7.82
3,1454,2015,14.85,7.82
4,1454,2014,8.48,7.35
0,1455,18Q2,13.1,9.85
1,1455,2017,13.95,8.36
2,1455,2016,10.2,7.49
3,1455,2015,15.2,7.53
4,1455,2014,10.65,7.93
0,1456,18Q2,12,8.19
1,1456,2017,16.1,8.47
2,1456,2016,14.5,4.19
3,1456,2015,8.96,3.47
4,1456,2014,11.1,6.81
0,1457,18Q2,15.9,12.1
1,1457,2017,15.2,10
2,1457,2016,12.9,9.45
3,1457,2015,15.65,7.96
4,1457,2014,9.35,7.57
0,1459,18Q2,10.4,8.05
1,1459,2017,10.3,7.69
2,1459,2016,11,7.68
3,1459,2015,15.75,8.82
4,1459,2014,12.45,8.7
0,1460,18Q2,15,11.85
1,1460,2017,17.9,13.75
2,1460,2016,18.35,13.05
3,1460,2015,20.7,11.2
4,1460,2014,19.4,9.35
0,1463,18Q2,25.15,15.1
1,1463,2017,30.6,20.55
2,1463,2016,22.5,14.9
3,1463,2015,20.6,12.4
4,1463,2014,18.7,13.2
0,1464,18Q2,26.25,21.7
1,1464,2017,32,24.3
2,1464,2016,41.4,22.95
3,1464,2015,36.9,13
4,1464,2014,14.05,10.7
0,1465,18Q2,17.75,13.6
1,1465,2017,19.85,12.1
2,1465,2016,15.1,12.3
3,1465,2015,18.4,12.05
4,1465,2014,25.4,14.95
0,1466,18Q2,12.8,9.85
1,1466,2017,13.9,10.7
2,1466,2016,17.95,12.4
3,1466,2015,22.5,11.7
4,1466,2014,27.95,16.45
0,1467,18Q2,13.95,9.78
1,1467,2017,12.65,8.91
2,1467,2016,18.7,10.15
3,1467,2015,16.7,9.59
4,1467,2014,16.4,12.35
0,1468,18Q2,12.25,9.24
1,1468,2017,12.35,9.68
2,1468,2016,13.1,8.6
3,1468,2015,14.6,8.64
4,1468,2014,14.25,9.28
0,1470,18Q2,20.25,16.4
1,1470,2017,20.25,16.7
2,1470,2016,22,16.2
3,1470,2015,23.3,15.25
4,1470,2014,23.8,15.1
0,1472,18Q2,42.5,25
1,1472,2017,47.55,10.4
2,1472,2016,19.25,8.5
3,1472,2015,26,10.7
4,1472,2014,53.5,24.5
0,1473,18Q2,24.9,19.5
1,1473,2017,30.5,23.2
2,1473,2016,44,27.15
3,1473,2015,33.9,20.9
4,1473,2014,35.05,23.5
0,1474,18Q2,12.75,10.8
1,1474,2017,12.3,10.9
2,1474,2016,13.5,8.51
3,1474,2015,13.3,7.4
4,1474,2014,9.9,7.49
0,1475,18Q2,55.3,11.6
1,1475,2017,158,7.46
2,1475,2016,13.65,6.81
3,1475,2015,15.15,6.1
4,1475,2014,28.1,12.25
0,1476,18Q2,401.5,263.5
1,1476,2017,401,263
2,1476,2016,483.5,278
3,1476,2015,549,297
4,1476,2014,407,212.5
0,1477,18Q2,165,122.5
1,1477,2017,151.5,109
2,1477,2016,235,103.5
3,1477,2015,300,165
4,1477,2014,178,138
0,4414,18Q2,19.4,13.4
1,4414,2017,23.45,16.85
2,4414,2016,28.25,16.2
3,4414,2015,22.3,13.05
4,4414,2014,23.4,12.6
0,4426,18Q2,59,32.75
1,4426,2017,110,46.5
2,4426,2016,210,102.5
3,4426,2015,227,33.3
4,4426,2014,42.4,29.1
0,4438,18Q2,141,107.5
1,4438,2017,189.5,129.5
2,4438,2016,188,134.5
3,4438,2015,-,-
4,4438,2014,-,-
0,1503,18Q2,43.05,39.9
1,1503,2017,43.4,39.4
2,1503,2016,40.95,38.3
3,1503,2015,41.8,36.9
4,1503,2014,41.9,35.45
0,1504,18Q2,29.15,20.8
1,1504,2017,31.85,27.1
2,1504,2016,29,23.5
3,1504,2015,33,21.7
4,1504,2014,41.4,28.2
0,1506,18Q2,24.15,19.8
1,1506,2017,27,13.7
2,1506,2016,19.3,13.55
3,1506,2015,26,11.65
4,1506,2014,25.4,18.1
0,1507,18Q2,60.3,46
1,1507,2017,61.3,44.3
2,1507,2016,52.2,41.55
3,1507,2015,78,41.9
4,1507,2014,91.3,62.6
0,1512,18Q2,13.35,9.2
1,1512,2017,16.25,5.8
2,1512,2016,7.38,4
3,1512,2015,6.99,2.88
4,1512,2014,11.75,5.36
0,1513,18Q2,24.7,19.5
1,1513,2017,24.2,18.7
2,1513,2016,20.05,16.3
3,1513,2015,23.65,15.15
4,1513,2014,23.15,18.7
0,1514,18Q2,20.1,10.4
1,1514,2017,12.4,9.5
2,1514,2016,11.2,7.8
3,1514,2015,10.7,7.02
4,1514,2014,11.15,7.9
0,1515,18Q2,57.6,35.65
1,1515,2017,75,14.6
2,1515,2016,18.1,9.74
3,1515,2015,13.9,8.5
4,1515,2014,12.85,9.01
0,1517,18Q2,12.45,10
1,1517,2017,13.55,10
2,1517,2016,11.75,10
3,1517,2015,16.15,9.4
4,1517,2014,19.3,12.85
0,1519,18Q2,32.35,19
1,1519,2017,24.65,16.3
2,1519,2016,20.3,13.65
3,1519,2015,18.35,13.15
4,1519,2014,18.5,14.1
0,1521,18Q2,83,67.3
1,1521,2017,87.4,77
2,1521,2016,90.4,71.5
3,1521,2015,108,65.1
4,1521,2014,93.1,56.6
0,1522,18Q2,34.75,26.8
1,1522,2017,37.8,29.15
2,1522,2016,39.4,20.4
3,1522,2015,26.15,15.15
4,1522,2014,22.8,15.5
0,1524,18Q2,12.35,9.95
1,1524,2017,14.2,10.6
2,1524,2016,13.45,6.1
3,1524,2015,8.16,4.24
4,1524,2014,9.23,6.42
0,1525,18Q2,94.3,61.1
1,1525,2017,130,90.5
2,1525,2016,158,70.1
3,1525,2015,94,52
4,1525,2014,96.5,48.55
0,1526,18Q2,99.5,29.65
1,1526,2017,73.8,14.5
2,1526,2016,17.55,11.7
3,1526,2015,18.7,11
4,1526,2014,16.5,9.62
0,1527,18Q2,70.7,49.3
1,1527,2017,102,63.2
2,1527,2016,118,55.6
3,1527,2015,71.1,33.95
4,1527,2014,49.7,29.5
0,1528,18Q2,17.75,11.85
1,1528,2017,16.05,9.91
2,1528,2016,12.15,7.76
3,1528,2015,11.8,7.22
4,1528,2014,16.1,10.5
0,1529,18Q2,4.49,2.67
1,1529,2017,4.6,2.85
2,1529,2016,5.5,2.16
3,1529,2015,6.2,2.87
4,1529,2014,5.22,2.26
0,1530,18Q2,40.25,30.2
1,1530,2017,39.9,28.1
2,1530,2016,33.5,26.75
3,1530,2015,49.9,24
4,1530,2014,67.5,34.1
0,1531,18Q2,29.2,17.55
1,1531,2017,24.15,15.75
2,1531,2016,19.8,15.5
3,1531,2015,25.2,15.25
4,1531,2014,32.55,19.3
0,1532,18Q2,32.1,27
1,1532,2017,33.4,26.4
2,1532,2016,43.2,23.7
3,1532,2015,33.5,20.55
4,1532,2014,41.35,22.5
0,1533,18Q2,41.9,34.8
1,1533,2017,47.6,36.65
2,1533,2016,58.2,33.5
3,1533,2015,67.4,25.7
4,1533,2014,84.9,40
0,1535,18Q2,52.2,35.3
1,1535,2017,49.9,38.7
2,1535,2016,62.7,40.8
3,1535,2015,78.5,52
4,1535,2014,79.9,57.9
0,1536,18Q2,157.5,116
1,1536,2017,156,121
2,1536,2016,173.5,104.5
3,1536,2015,133.5,54.3
4,1536,2014,62.5,43.65
0,1537,18Q2,156.5,136.5
1,1537,2017,167.5,141
2,1537,2016,169.5,123.5
3,1537,2015,165,92.5
4,1537,2014,115,74.2
0,1538,18Q2,6.17,3.73
1,1538,2017,9.49,4.8
2,1538,2016,7.72,4.2
3,1538,2015,10.25,4
4,1538,2014,13.5,5.85
0,1539,18Q2,29.7,15.7
1,1539,2017,28.95,19.9
2,1539,2016,37.4,22.1
3,1539,2015,45.55,18
4,1539,2014,25,14.15
0,1540,18Q2,19.8,14.55
1,1540,2017,16.3,12.7
2,1540,2016,18.25,12.6
3,1540,2015,26.15,14.1
4,1540,2014,27.15,19.15
0,1541,18Q2,48.45,29.25
1,1541,2017,71,44.1
2,1541,2016,67.9,35.8
3,1541,2015,70.4,16.35
4,1541,2014,22.1,13
0,1558,18Q2,145.5,123
1,1558,2017,163.5,124
2,1558,2016,168.5,127
3,1558,2015,192,99
4,1558,2014,180,142
0,1560,18Q2,87,61.6
1,1560,2017,91.4,61.2
2,1560,2016,64.5,46.1
3,1560,2015,70.6,40.5
4,1560,2014,103,57.5
0,1568,18Q2,36.95,18.3
1,1568,2017,50.4,30.55
2,1568,2016,41.4,18.55
3,1568,2015,23.2,13.1
4,1568,2014,32.8,19.15
0,1583,18Q2,74.8,60.1
1,1583,2017,85,55.1
2,1583,2016,70.9,46.5
3,1583,2015,96.6,52.8
4,1583,2014,108,45.7
0,1587,18Q2,24.2,17.5
1,1587,2017,-,-
2,1587,2016,-,-
3,1587,2015,-,-
4,1587,2014,-,-
0,2049,18Q2,530,249
1,2049,2017,344,146.5
2,2049,2016,179,104
3,2049,2015,274.5,124.5
4,2049,2014,378,216
0,2228,18Q2,118.5,75.1
1,2228,2017,192,111.5
2,2228,2016,262,147
3,2228,2015,198,114.5
4,2228,2014,156,92.6
0,2231,18Q2,464,220
1,2231,2017,397,242
2,2231,2016,428,236.5
3,2231,2015,438,283
4,2231,2014,424,125
0,2371,18Q2,41.7,19
1,2371,2017,20.65,9.51
2,2371,2016,9.89,4.49
3,2371,2015,9.35,4.43
4,2371,2014,10.5,7.99
0,3167,18Q2,59.3,44.6
1,3167,2017,55.9,25.7
2,3167,2016,34.4,21.6
3,3167,2015,39.9,23.75
4,3167,2014,51,33
0,3346,18Q2,80,44.5
1,3346,2017,134,58.4
2,3346,2016,62.9,46
3,3346,2015,-,-
4,3346,2014,-,-
0,4526,18Q2,23.35,19.15
1,4526,2017,23.5,20
2,4526,2016,26.35,20.5
3,4526,2015,36.4,19.1
4,4526,2014,37,25.05
0,4532,18Q2,33.7,27.55
1,4532,2017,36.8,28.1
2,4532,2016,38.8,21.8
3,4532,2015,33.9,18.7
4,4532,2014,36.8,28.2
0,4540,18Q2,126.5,85.5
1,4540,2017,-,-
2,4540,2016,-,-
3,4540,2015,-,-
4,4540,2014,-,-
0,4551,18Q2,193.5,81
1,4551,2017,208,123
2,4551,2016,161.5,63
3,4551,2015,80,49
4,4551,2014,-,-
0,4555,18Q2,88,61.2
1,4555,2017,72.1,59.2
2,4555,2016,76.9,51.7
3,4555,2015,86.5,69.2
4,4555,2014,-,-
0,4562,18Q2,44.9,36.95
1,4562,2017,46.5,39.6
2,4562,2016,-,-
3,4562,2015,-,-
4,4562,,,
0,4566,18Q2,80.8,46.1
1,4566,2017,-,-
2,4566,2016,-,-
3,4566,2015,-,-
4,4566,,,
0,6605,18Q2,96.5,71
1,6605,2017,97.8,78.5
2,6605,2016,122,81
3,6605,2015,147.5,81.7
4,6605,2014,137.5,99.5
0,8222,18Q2,23.05,17.25
1,8222,2017,31.25,18
2,8222,2016,41.95,19.9
3,8222,2015,28.3,14.9
4,8222,2014,-,-
0,8374,18Q2,34.9,24.6
1,8374,2017,41.25,15.35
2,8374,2016,20.85,9.07
3,8374,2015,21.95,8.36
4,8374,2014,30.5,18.5
0,8996,18Q2,54.9,37.4
1,8996,2017,57.8,33.6
2,8996,2016,72.8,39
3,8996,2015,69.2,28.3
4,8996,2014,90.5,52
0,1603,18Q2,29.1,23.2
1,1603,2017,32,21.05
2,1603,2016,24.2,11.7
3,1603,2015,13,8.64
4,1603,2014,13.95,11.65
0,1604,18Q2,14.85,12.75
1,1604,2017,20,12.55
2,1604,2016,20.5,10.9
3,1604,2015,14,11
4,1604,2014,13.7,11.2
0,1605,18Q2,27.15,14.65
1,1605,2017,18.25,11.55
2,1605,2016,13.65,6.83
3,1605,2015,10.2,6.02
4,1605,2014,11.8,8.8
0,1608,18Q2,14.15,9.06
1,1608,2017,12.2,7.91
2,1608,2016,8.64,6.16
3,1608,2015,10.35,5.9
4,1608,2014,12.65,9.72
0,1609,18Q2,18.25,10.95
1,1609,2017,15.4,5.45
2,1609,2016,5.84,4.11
3,1609,2015,6.76,3.88
4,1609,2014,7.81,6.1
0,1611,18Q2,14.65,9.3
1,1611,2017,10.65,7.45
2,1611,2016,11,7
3,1611,2015,12.15,6.14
4,1611,2014,15,9.9
0,1612,18Q2,14.3,10.05
1,1612,2017,11.55,8.79
2,1612,2016,9.29,7.57
3,1612,2015,10.8,6.81
4,1612,2014,12.1,9.41
0,1614,18Q2,25.25,22.6
1,1614,2017,28.1,22
2,1614,2016,25.7,22.65
3,1614,2015,30.8,21.1
4,1614,2014,43.5,30
0,1615,18Q2,26.3,13.3
1,1615,2017,16.55,10.1
2,1615,2016,11.6,8.4
3,1615,2015,12.4,8.62
4,1615,2014,15.45,10
0,1616,18Q2,7.1,5.13
1,1616,2017,7.78,5.03
2,1616,2016,5.85,3.85
3,1616,2015,8.05,3.92
4,1616,2014,7.25,5.01
0,1617,18Q2,17,13
1,1617,2017,15.8,7.51
2,1617,2016,8.16,6.24
3,1617,2015,8.31,5.85
4,1617,2014,9.83,7.5
0,1618,18Q2,11.55,8.66
1,1618,2017,10.65,8.06
2,1618,2016,9.16,6.81
3,1618,2015,9.99,6.01
4,1618,2014,10.6,7.67
0,4930,18Q2,13.75,10.85
1,4930,2017,16.25,12.45
2,4930,2016,16.25,11.3
3,4930,2015,38.1,10.35
4,4930,2014,25.85,12.7
0,1316,18Q2,25.5,17.05
1,1316,2017,31.1,10.7
2,1316,2016,12.45,9.3
3,1316,2015,12.95,8.92
4,1316,2014,14.2,10.8
