,shit,id,收盤價
0,0,1101,40.25
1,1,1102,40.55
2,2,1103,13.65
3,3,1104,20.20
4,4,1108,7.87
5,5,1109,15.50
6,6,1110,13.80
7,7,1201,22.45
8,8,1203,25.55
9,9,1210,37.40
10,10,1213,12.60
11,11,1215,51.50
12,12,1216,79.30
13,13,1217,7.60
14,14,1218,18.90
15,15,1219,18.65
16,16,1220,11.75
17,17,1225,86.30
18,18,1227,51.30
19,19,1229,35.50
20,20,1231,36.25
21,21,1232,100.50
22,22,1233,38.80
23,23,1234,30.90
24,24,1235,40.80
25,25,1236,16.00
26,26,1702,51.10
27,27,1737,31.00
28,28,1301,117.00
29,29,1303,85.00
30,30,1304,14.10
31,31,1305,25.65
32,32,1307,27.20
33,33,1308,16.50
34,34,1309,14.40
35,35,1310,24.20
36,36,1312,29.70
37,37,1313,15.50
38,38,1314,13.95
39,39,1315,26.55
40,40,1319,43.20
41,41,1321,27.50
42,42,1323,35.65
43,43,1324,12.50
44,44,1325,17.70
45,45,1326,127.50
46,46,1339,40.90
47,47,4306,15.45
48,48,1402,36.35
49,49,1409,12.50
50,50,1410,24.60
51,51,1413,13.05
52,52,1414,7.90
53,53,1416,15.55
54,54,1417,5.06
55,55,1418,7.98
56,56,1419,44.15
57,57,1423,10.30
58,58,1434,36.90
59,59,1439,30.40
60,60,1440,13.45
61,61,1441,12.95
62,62,1443,7.02
63,63,1444,11.15
64,64,1445,7.94
65,65,1446,27.80
66,66,1447,9.50
67,67,1449,4.89
68,68,1451,24.50
69,69,1452,19.30
70,70,1453,8.93
71,71,1454,8.00
72,72,1455,10.60
73,73,1456,8.38
74,74,1457,14.05
75,75,1459,10.05
76,76,1460,14.40
77,77,1463,15.65
78,78,1464,22.30
79,79,1465,14.85
80,80,1466,11.00
81,81,1467,10.80
82,82,1468,11.35
83,83,1470,--
84,84,1472,27.10
85,85,1473,20.00
86,86,1474,11.10
87,87,1475,10.90
88,88,1476,378.00
89,89,1477,154.50
90,90,4414,12.00
91,91,4426,48.70
92,92,4438,135.00
93,93,1503,47.00
94,94,1504,22.15
95,95,1506,23.00
96,96,1507,50.30
97,97,1512,9.80
98,98,1513,20.75
99,99,1514,15.10
100,100,1515,57.60
101,101,1517,10.35
102,102,1519,23.95
103,103,1521,69.20
104,104,1522,28.25
105,105,1524,10.20
106,106,1525,63.90
107,107,1526,25.90
108,108,1527,55.40
109,109,1528,12.20
110,110,1529,2.98
111,111,1530,33.20
112,112,1531,18.05
113,113,1532,30.85
114,114,1533,35.50
115,115,1535,36.00
116,116,1536,138.50
117,117,1537,142.00
118,118,1538,5.90
119,119,1539,29.05
120,120,1540,16.75
121,121,1541,30.80
122,122,1558,142.00
123,123,1560,66.30
124,124,1568,21.95
125,125,1583,58.30
126,126,1587,19.90
127,127,2049,256.50
128,128,2228,76.60
129,129,2231,231.50
130,130,2371,39.15
131,131,3167,45.85
132,132,3346,45.90
133,133,4526,20.05
134,134,4532,26.50
135,135,4540,89.40
136,136,4551,86.00
137,137,4555,64.50
138,138,4562,37.40
139,139,4566,49.15
140,140,6605,73.70
141,141,8222,17.05
142,142,8374,25.00
143,143,8996,48.60
144,144,1603,24.05
145,145,1604,13.60
146,146,1605,20.25
147,147,1608,9.75
148,148,1609,12.90
149,149,1611,9.74
150,150,1612,10.30
151,151,1614,23.50
152,152,1615,16.70
153,153,1616,5.12
154,154,1617,13.55
155,155,1618,8.91
156,156,4930,12.10
157,157,1316,18.30
158,158,1704,51.90
159,159,1708,27.15
160,160,1709,17.85
161,161,1710,34.10
162,162,1711,17.85
163,163,1712,17.20
164,164,1713,18.65
165,165,1714,7.95
166,166,1717,26.65
167,167,1718,11.10
168,168,1721,10.20
169,169,1722,46.10
170,170,1723,147.00
171,171,1724,13.65
172,172,1725,16.20
173,173,1726,79.00
174,174,1727,15.10
175,175,1730,50.90
176,176,1732,11.15
177,177,1735,15.90
178,178,1773,95.70
179,179,1776,19.70
180,180,3708,78.40
181,181,4720,13.40
182,182,4722,29.90
183,183,4725,32.70
184,184,4739,89.50
185,185,4755,47.10
186,186,4764,79.20
187,187,1598,29.55
188,188,1701,22.80
189,189,1707,213.00
190,190,1720,32.35
191,191,1731,13.60
192,192,1733,28.55
193,193,1734,20.55
194,194,1736,39.25
195,195,1760,91.50
196,196,1762,24.50
197,197,1783,28.80
198,198,1786,75.00
199,199,1789,30.30
200,200,3164,27.55
201,201,3705,40.85
202,202,4104,47.40
203,203,4106,25.90
204,204,4108,22.10
205,205,4119,84.40
206,206,4133,34.90
207,207,4142,19.75
208,208,4155,25.70
209,209,4164,36.60
210,210,4737,52.00
211,211,4746,49.00
212,212,1802,16.40
213,213,1806,7.81
214,214,1809,11.90
215,215,1810,8.80
216,216,1817,38.00
217,217,1902,18.10
218,218,1903,32.35
219,219,1904,25.30
220,220,1905,10.15
221,221,1906,19.90
222,222,1907,12.55
223,223,1909,21.35
224,224,2002,25.45
225,225,2006,23.50
226,226,2007,5.00
227,227,2008,12.45
228,228,2009,10.40
229,229,2010,11.05
230,230,2012,20.10
231,231,2013,35.40
232,232,2014,14.75
233,233,2015,60.70
234,234,2017,9.30
235,235,2020,14.60
236,236,2022,8.55
237,237,2023,10.40
238,238,2024,10.15
239,239,2025,
240,240,2027,54.80
241,241,2028,9.63
242,242,2029,21.20
243,243,2030,14.95
244,244,2031,46.60
245,245,2032,10.35
246,246,2033,12.85
247,247,2034,26.35
248,248,2038,10.70
249,249,2069,23.30
250,250,3004,55.40
251,251,5007,54.00
252,252,9958,99.00
253,253,2101,25.40
254,254,2102,13.15
255,255,2103,34.45
256,256,2104,39.50
257,257,2105,48.45
258,258,2106,30.65
259,259,2107,15.20
260,260,2108,29.70
261,261,2109,14.00
262,262,2114,94.30
263,263,6582,52.70
264,264,2201,21.20
265,265,2204,25.65
266,266,2206,20.60
267,267,2207,262.00
268,268,2227,240.00
269,269,2302,8.00
270,270,2303,15.95
271,271,2329,11.40
272,272,2330,265.00
273,273,2337,25.50
274,274,2338,26.55
275,275,2342,32.25
276,276,2344,14.70
277,277,2351,82.00
278,278,2363,10.00
279,279,2369,10.15
280,280,2379,134.00
281,281,2388,36.10
282,282,2401,13.15
283,283,2408,59.80
284,284,2434,11.05
285,285,2436,29.90
286,286,2441,50.30
287,287,2449,20.10
288,288,2451,70.20
289,289,2454,241.50
290,290,2458,50.10
291,291,2481,33.30
292,292,3006,33.25
293,293,3014,33.95
294,294,3016,50.00
295,295,3034,148.00
296,296,3035,55.20
297,297,3041,12.45
298,298,3054,26.00
299,299,3094,19.45
300,300,3189,53.30
301,301,3257,51.90
302,302,3413,137.50
303,303,3443,282.00
304,304,3519,11.50
305,305,3530,93.30
306,306,3532,152.00
307,307,3536,9.83
308,308,3545,24.95
309,309,3579,10.70
310,310,3583,65.40
311,311,3588,25.10
312,312,3686,4.00
313,313,3711,74.10
314,314,4919,44.60
315,315,4952,33.90
316,316,4968,45.40
317,317,5269,539.00
318,318,5285,76.10
319,319,5305,29.95
320,320,5471,30.00
321,321,6202,79.00
322,322,6239,84.20
323,323,6243,13.25
324,324,6257,33.80
325,325,6271,91.00
326,326,6531,56.40
327,327,6533,96.50
328,328,6552,81.00
329,329,8016,84.70
330,330,8028,32.80
331,331,8081,68.30
332,332,8110,12.45
333,333,8131,33.60
334,334,8150,23.50
335,335,8261,39.05
336,336,8271,33.25
337,337,2301,38.40
338,338,2305,7.78
339,339,2324,19.00
340,340,2331,15.40
341,341,2352,19.95
342,342,2353,24.80
343,343,2356,27.10
344,344,2357,262.50
345,345,2362,29.50
346,346,2364,3.70
347,347,2365,10.30
348,348,2376,48.00
349,349,2377,82.50
350,350,2380,5.33
351,351,2382,53.00
352,352,2387,16.20
353,353,2395,234.50
354,354,2397,71.90
355,355,2399,12.55
356,356,2405,13.90
357,357,2417,11.15
358,358,2424,32.00
359,359,2425,41.80
360,360,2442,14.40
361,361,2465,12.40
362,362,3002,10.55
363,363,3005,40.05
364,364,3013,16.40
365,365,3017,26.75
366,366,3022,38.10
367,367,3046,21.30
368,368,3057,9.60
369,369,3060,16.45
370,370,3231,19.95
371,371,3416,55.40
372,372,3494,6.95
373,373,3515,55.40
374,374,3701,6.92
375,375,3706,28.45
376,376,4916,33.25
377,377,4938,60.90
378,378,5258,19.25
379,379,6117,13.20
380,380,6128,32.25
381,381,6166,49.70
382,382,6172,12.90
383,383,6206,75.60
384,384,6230,83.20
385,385,6235,17.75
386,386,6277,82.40
387,387,6414,280.50
388,388,6579,84.50
389,389,8114,110.50
390,390,8163,44.55
391,391,8210,39.00
392,392,9912,9.35
393,393,2323,6.81
394,394,2340,22.65
395,395,2349,13.55
396,396,2374,14.00
397,397,2393,31.30
398,398,2406,10.05
399,399,2409,13.00
